asdf_id,ntl2012,ntl2013,nt2014,ntl2015,ntl216,ntl2017,ntl2018,ntl2019,ntl2020,idGQ,shapeID,nameGQ
0,3.185064554,5.13426733,1.773889422,4.047488213,17.86659431,34.35800552,38.42438507,39.21588898,38.63735199,0,BOL-ADM3-33444609B20338026,Esmeralda
1,17.49607658,21.28956795,20.31747818,22.24385452,18.62920761,45.46524811,46.23018646,46.27662659,58.41024399,1,BOL-ADM3-33444609B53994240,Santuario de Quillacas
2,10.2783699,12.13556957,11.5195713,5.842638016,6.416913986,19.59886169,18.71907043,12.87323666,26.99120331,2,BOL-ADM3-33444609B27878331,Pampa Aullagas
3,652.8339844,746.3242798,825.3580933,858.3693848,1112.248169,1196.713501,1304.111572,1397.355103,1290.520874,3,BOL-ADM3-33444609B13957296,Llallagua
4,11.24274063,17.23329163,12.44546413,14.71350098,9.844965935,24.83840752,29.67046165,33.19116592,46.89235306,4,BOL-ADM3-33444609B2060227,Caripuyo
5,320.719574,330.424469,307.5560303,353.115448,416.9564819,503.6056213,543.7019043,525.6296387,569.840271,5,BOL-ADM3-33444609B22499454,Aiquile
6,27.68954849,36.43451691,34.52216339,35.48403168,40.14476776,58.88786697,77.48724365,75.84483337,85.7206192,6,BOL-ADM3-33444609B14646898,Sacaca
7,4.447775841,4.559866428,5.177781105,4.708926678,3.59385848,14.96706009,15.70475388,21.27515602,27.5340538,7,BOL-ADM3-33444609B19396342,Acasio
8,434.3235168,528.1918945,546.3309937,538.1737671,596.074646,704.9302368,761.9534912,817.8734131,853.3568726,8,BOL-ADM3-33444609B48998442,Huanuni
9,24.26772118,24.08892059,21.77209091,20.5036068,29.56398964,39.51408768,40.24663925,37.11030197,38.83644104,9,BOL-ADM3-33444609B43353864,Huachacalla
10,61.29078674,75.40400696,101.1589661,135.7329865,144.1535645,193.8070068,182.5449829,152.3004761,174.4306488,10,BOL-ADM3-33444609B12212981,Santiago de Huari
11,43.75637436,48.9777565,44.30027771,47.03004837,38.96573639,58.15861511,58.89419937,67.49701691,75.68199158,11,BOL-ADM3-33444609B81698958,Pazña
12,75.32757568,82.33297729,81.91298676,102.1983795,126.145401,163.7376404,157.6020203,165.0632935,177.1277161,12,BOL-ADM3-33444609B39428862,Villa Rivero
13,13.85526848,15.77662277,16.05485344,22.94095993,28.69513512,41.74352646,43.23688507,38.0831604,62.78795624,13,BOL-ADM3-33444609B55151365,Andamarca
14,3.992500544,10.38287735,9.28678894,14.53322601,10.41654682,22.51545715,20.54566574,20.67998886,26.21479416,14,BOL-ADM3-33444609B33779243,Chacarilla
15,272.1564941,325.8766479,348.9293823,493.6933289,553.8282471,666.8807373,660.0343628,816.1282349,1060.611694,15,BOL-ADM3-33444609B65270572,Arbieto
16,3.686506748,7.062542439,10.78797626,12.56017685,10.54038239,16.93345451,16.36645126,15.29287052,7.776403427,16,BOL-ADM3-33444609B96301403,Papel Pampa
17,21.61581421,24.51025391,34.15711975,38.92636871,33.48572159,114.8324203,115.6354752,103.7245865,118.6930542,17,BOL-ADM3-33444609B33786797,Umala
18,10174.35352,11893.47852,14688.18359,16943.49219,20910.83203,23291.40039,22807.41016,22458.67383,21705.97266,18,BOL-ADM3-33444609B89522171,Oruro
19,16.77879715,26.02961922,36.27765274,40.94314194,38.21443558,57.17694855,56.96803665,49.37664795,56.14983368,19,BOL-ADM3-33444609B49437729,Huayllamarca
20,7.507875443,10.92977905,10.96736622,18.72650337,14.2023077,28.68544006,26.90866089,18.33089066,21.14345169,20,BOL-ADM3-33444609B90350398,San Pedro de Curahuara
21,13.80983925,15.72695732,14.18814468,18.04754066,14.39406395,30.15736389,29.83189011,30.66200638,31.41423416,21,BOL-ADM3-33444609B28043407,Sicaya
22,682.4830933,735.7755127,810.0148315,821.2529297,801.4550781,967.991333,941.1800537,912.8082886,842.8209839,22,BOL-ADM3-33444609B22047407,Puerto Quijarro
23,317.352417,336.9388428,322.9529724,345.4417725,342.9830017,406.2875671,401.9725647,434.6876831,416.5617981,23,BOL-ADM3-33444609B45253703,Capinota
24,48.46227264,65.85188293,68.18721771,92.96176147,72.77301025,128.6324921,155.6669159,129.5996552,115.6123505,24,BOL-ADM3-33444609B98674568,Arque
25,118.2604752,145.227356,126.646431,155.9871826,171.603241,288.4741516,321.2333069,317.8268738,321.6155396,25,BOL-ADM3-33444609B17270625,Corocoro
26,412.0102844,450.1168213,471.2096863,557.8251953,637.8863525,743.8651733,788.5169067,985.2809448,1418.64978,26,BOL-ADM3-33444609B19104054,San Benito
27,5.658347607,10.5114193,6.054214478,9.350325584,11.25891113,20.30219841,18.5201416,14.48550892,10.0318346,27,BOL-ADM3-33444609B66518212,Sapahaqui
28,7.830812454,13.60397816,10.43562317,10.43880558,14.31670761,32.56882477,32.89045334,37.13743591,42.7622757,28,BOL-ADM3-33444609B10766550,Cairoma
29,142.5414581,149.2377167,146.7370605,137.4047546,149.9258118,205.1808319,180.0423584,179.1295624,190.8540192,29,BOL-ADM3-33444609B98493674,Colquiri
30,8.308321953,10.89643764,8.663563728,8.179697037,6.888190269,14.02084827,20.98544884,10.91421223,8.707847595,30,BOL-ADM3-33444609B35095185,Ichoca
31,2098.215088,2529.10083,2560.520996,3569.973633,3909.919922,4392.012695,4823.319336,4772.874023,4931.780762,31,BOL-ADM3-33444609B27516383,La Guardia
32,10.75018787,12.5429945,12.10293484,10.6848793,8.184959412,16.5483036,12.40321541,10.68546391,13.80158806,32,BOL-ADM3-33444609B65462728,Moromoro
33,551.7857666,633.8984375,623.5037231,704.4967041,677.7981567,786.5810547,786.1973877,757.4124756,839.8010864,33,BOL-ADM3-33444609B3283622,El Torno
34,267.2312622,322.1723938,262.7900391,246.7674255,287.4664917,353.6671753,379.0837402,332.4271545,371.4494019,34,BOL-ADM3-33444609B3665426,Samaipata
35,36.52866364,41.83254623,35.24997711,38.66165543,34.5034256,77.33673096,97.84434509,84.61580658,82.1636734,35,BOL-ADM3-33444609B75362770,San Lucas
36,24.10202026,22.87116432,31.27726555,31.43286705,42.26967239,56.87512207,60.54277802,56.35419464,109.3693314,36,BOL-ADM3-33444609B89526883,Culpi
37,7.617712975,11.95490074,15.57329178,22.4250145,18.92819214,26.58461761,23.7797699,29.47490501,32.04208374,37,BOL-ADM3-33444609B77799107,Incahuasi
38,140.9921875,167.0856018,148.8681335,207.1806488,217.2909698,279.5167847,289.9571533,267.0075073,335.2417908,38,BOL-ADM3-33444609B36544235,San Juan
39,15.61236763,19.47131348,19.12950134,19.11386108,11.0056181,20.90650558,27.02913284,18.04842377,23.06458664,39,BOL-ADM3-33444609B69045844,Tinguipaya
40,19.55653381,24.79786301,25.80224228,38.08581543,38.99861908,94.62008667,109.1332092,110.4160767,144.4551392,40,BOL-ADM3-33444609B29777572,San Pedro
41,35.16519928,36.46433258,40.32537079,46.83601761,53.44528961,88.89543152,99.25643921,116.6616135,125.5283127,41,BOL-ADM3-33444609B4195370,Villa Ancoraimes
42,1603.752796,1614.589481,1562.734379,1586.207466,1716.22113,2045.438782,2068.027573,2086.105125,2270.219978,42,BOL-ADM3-33444609B80268637,"Colcha ""K"""
43,42.27807236,63.85326385,75.53259277,78.86577606,103.5916061,144.4968109,150.290329,160.010025,156.0439758,43,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco
44,90.04040527,101.7945251,76.58383942,84.84729004,79.92192841,134.6165161,144.4784393,123.4836884,159.3809967,44,BOL-ADM3-33444609B55181457,Sabaya
45,2.081223249,2.686240673,4.450266838,7.80836153,6.308434963,8.6251688,12.37535286,9.870124817,15.16390276,45,BOL-ADM3-33444609B74955412,Loreto
46,175.0325413,182.1920319,164.2225766,190.4043789,202.6985579,302.9175282,283.909956,252.1988907,291.1985826,46,BOL-ADM3-33444609B79735413,Tomave
