,poly_id,asdf_id,mun,mun_id,dep,dep_id,dep_mun,shapeID,imds,rank_imds,population_2020,urbano_2012,sdg1_1_eepr,sdg1_1_ubn,sdg1_2_mpi,sdg1_4_abs,sdg2_2_cmc,sdg2_2_oww,sdg2_4_pual,sdg2_4_td,sdg3_1_idca,sdg3_2_imr,sdg3_2_mrc,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg4_1_ssdrm,sdg4_1_ssdrf,sdg4_4_phe,sdg4_6_lr,sdg4_c_qti,sdg4_c_qts,sdg5_1_gpsd,sdg5_1_gpyp,sdg5_1_gpmpi,sdg5_5_gpop,sdg6_1_dwc,sdg6_2_sc,sdg6_3_wwt,sdg7_1_ec,sdg7_1_rec,sdg7_1_cce,sdg7_3_co2epc,sdg8_4_rem,sdg8_5_oprm,sdg8_5_ofrm,sdg8_6_mlm,sdg8_6_wlm,sdg8_10_dbb,sdg8_11_idi,sdg9_1_routes,sdg9_5_cd,sdg9_5_eutf,sdg9_c_mnc,sdg9_c_drb,sdg10_2_gcye,sdg10_2_iec,sdg10_2_nssp,sdg11_1_hocr,sdg11_1_hno,sdg11_2_samt,sdg13_1_ccvi,sdg13_2_tco2e,sdg13_2_dra,sdg15_1_pa,sdg15_5_blr,sdg16_1_rhr,sdg16_6_pbec,sdg16_9_cr,sdg17_1_pmtax,sdg17_5_pipc,index_sdg1,index_sdg2,index_sdg3,index_sdg4,index_sdg5,index_sdg6,index_sdg7,index_sdg8,index_sdg9,index_sdg10,index_sdg11,index_sdg13,index_sdg15,index_sdg16,index_sdg17,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020,ln_NTLpc2012,ln_NTLpc2013,ln_NTLpc2014,ln_NTLpc2015,ln_NTLpc2016,ln_NTLpc2017,ln_NTLpc2018,ln_NTLpc2019,ln_NTLpc2020,ln_t400NTLpc2012,ln_t400NTLpc2013,ln_t400NTLpc2014,ln_t400NTLpc2015,ln_t400NTLpc2016,ln_t400NTLpc2017,ln_t400NTLpc2018,ln_t400NTLpc2019,ln_t400NTLpc2020,co2015,co2016,co2017,co2018,co2019,co2020,tr400_co2015,tr400_co2016,tr400_co2017,tr400_co2018,tr400_co2019,tr400_co2020,airTemp2012.mean,airTemp2013.mean,airTemp2014.mean,airTemp2015.mean,airTemp2016.mean,airTemp2017.mean,airTemp2012.min,airTemp2013.min,airTemp2014.min,airTemp2015.min,airTemp2016.min,airTemp2017.min,airTemp2012.max,airTemp2013.max,airTemp2014.max,airTemp2015.max,airTemp2016.max,airTemp2017.max,distancedistanceCoast2017mean,distancedistanceCoast2017max,distancedistanceCoast2017min,distanceDia2017min,distanceDia2017mean,distanceDia2017max,drugCult_count2017,drugCult_none2017,drugCult_coca_bush2017,distanceDrug2017mean,distanceDrug2017max,distanceDrug2017min,esaLandCover2012_grassland,esaLandCover2012_count,esaLandCover2012_sparse_vegetation,esaLandCover2012_bare_areas,esaLandCover2012_shrubland,esaLandCover2012_no_data,esaLandCover2012_rainfed_cropland,esaLandCover2012_water_bodies,esaLandCover2012_forest,esaLandCover2012_wetland,esaLandCover2012_mosaic_cropland,esaLandCover2012_irrigated_cropland,esaLandCover2012_snow_ice,esaLandCover2012_urban,esaLandCover2013_grassland,esaLandCover2013_count,esaLandCover2013_sparse_vegetation,esaLandCover2013_bare_areas,esaLandCover2013_shrubland,esaLandCover2013_no_data,esaLandCover2013_rainfed_cropland,esaLandCover2013_water_bodies,esaLandCover2013_forest,esaLandCover2013_wetland,esaLandCover2013_mosaic_cropland,esaLandCover2013_irrigated_cropland,esaLandCover2013_snow_ice,esaLandCover2013_urban,esaLandCover2014_grassland,esaLandCover2014_count,esaLandCover2014_sparse_vegetation,esaLandCover2014_bare_areas,esaLandCover2014_shrubland,esaLandCover2014_no_data,esaLandCover2014_rainfed_cropland,esaLandCover2014_water_bodies,esaLandCover2014_forest,esaLandCover2014_wetland,esaLandCover2014_mosaic_cropland,esaLandCover2014_irrigated_cropland,esaLandCover2014_snow_ice,esaLandCover2014_urban,esaLandCover2015_grassland,esaLandCover2015_count,esaLandCover2015_sparse_vegetation,esaLandCover2015_bare_areas,esaLandCover2015_shrubland,esaLandCover2015_no_data,esaLandCover2015_rainfed_cropland,esaLandCover2015_water_bodies,esaLandCover2015_forest,esaLandCover2015_wetland,esaLandCover2015_mosaic_cropland,esaLandCover2015_irrigated_cropland,esaLandCover2015_snow_ice,esaLandCover2015_urban,esaLandCover2016_grassland,esaLandCover2016_count,esaLandCover2016_sparse_vegetation,esaLandCover2016_bare_areas,esaLandCover2016_shrubland,esaLandCover2016_no_data,esaLandCover2016_rainfed_cropland,esaLandCover2016_water_bodies,esaLandCover2016_forest,esaLandCover2016_wetland,esaLandCover2016_mosaic_cropland,esaLandCover2016_irrigated_cropland,esaLandCover2016_snow_ice,esaLandCover2016_urban,modis_agriculture_2012,modis_total_area_2012,modis_urban_2012,modis_agriculture_2013,modis_total_area_2013,modis_urban_2013,modis_agriculture_2014,modis_total_area_2014,modis_urban_2014,modis_agriculture_2015,modis_total_area_2015,modis_urban_2015,modis_agriculture_2016,modis_total_area_2016,modis_urban_2016,ghsl2015
0,178,0,Esmeralda,40505,Oruro,5,Oruro-Esmeralda,BOL-ADM3-33444609B20338026,53.200001,108,2854,0.0,,78.300003,0.1,10.8,19.200001,20.6,47.099998,0.0,43.200001,28.700001,34.700001,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,11.8,97.800003,40.0,53.599998,1.0,1.0,0.60000002,0.60000002,95.5,15.0,0.0,82.400002,2,37.0,0.1,,68.5,43.900002,14.7,26.200001,0.0,0.0,1,0.0,,52.0,0.40000001,0.28,,8.1000004,44.099998,87.699997,552.5,2.0,0.1,0.0,0.0,0.0,0.0,82.900002,86.699997,10.7,1082,34.759998,55.080002,85.690002,68.860001,58.529999,34.540001,52.23,30.92,24.530001,83.940002,32.560001,77.379997,50.0,82.400002,26.889999,962.03308,1051.7993,1148.5365,1242.4298,1364.5643,1486.7859,1625.0844,1772.2502,1946.8031,2044.5874,2275.4063,2564.9146,2820.8704,3077.3789,3359.6067,3707.0911,4065.6479,4454.5977,4886.9614,5354.105,11.729473,12.111817,10.962022,11.699198,13.08561,13.647187,13.667681,13.595437,13.489282,11.414175,11.726494,12.039332,12.354541,12.671274,12.98705,13.300419,13.611585,13.921671,400.66104,402.3187,404.97272,406.84192,408.98264,410.99747,400.56021,402.63989,404.73074,406.83206,408.94409,411.06708,8.62244612943,8.34616692976,8.55112374892,9.06344411984,9.42544763439,8.9538505202,7.83333333333,7.40833333333,7.61666666667,8.29166666667,8.51666666667,8.04166666667,8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,231558.142943,255432.596116,210006.519535,471828.205643,485933.132857,498379.625839,501,501,0,254480.40961,268179.305367,238603.239991,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,76,6514,541,5688,209,0,0,0,0,0,0,0,0,0,71,6514,546,5688,209,0,0,0,0,0,0,0,0,0,43.40449634577206,581.735042071448,0.0,42.231225555575975,581.735042071448,0.0,39.94183041727942,581.735042071448,0.0,45.46474594816176,581.735042071448,0.0,44.704407015686286,581.735042071448,0.0,292888.76470588235
1,169,1,Quillacas,40202,Oruro,5,Oruro-Quillacas,BOL-ADM3-33444609B53994240,50.5,171,4474,0.0,88.300003,73.599998,0.15000001,19.299999,31.5,19.5,7.6999998,87.400002,41.0,48.599998,64.599998,0.0,0.0,0.0,23.0,0.0,55.599998,1.4,0.80000001,12.1,94.800003,33.299999,25.0,2.0,0.89999998,1.2,0.89999998,60.5,25.200001,0.0,64.599998,27,49.099998,0.2,18.1,78.699997,67.400002,6.8000002,14.7,0.0,0.1,2,3.0999999,18.200001,45.0,2.8,0.34999999,30.0,16.700001,22.4,77.199997,0.0,2.2,0.2,0.0,0.0,0.0,0.0,53.700001,90.099998,0.0,443,27.950001,34.82,70.199997,57.73,87.529999,21.84,50.110001,56.599998,46.639999,74.089996,30.68,75.440002,50.0,69.720001,4.3800001,3312.9175,3382.0591,3447.3469,3509.0361,3575.7029,3654.4546,3723.5171,3791.8071,3862.3999,3931.6042,4008.8794,4093.4082,4171.9414,4262.7119,4357.5601,4434.0586,4517.645,4591.6426,4682.3174,4778.1196,12.965525,13.142761,13.074501,13.143079,12.94834,13.821883,13.822321,13.803769,14.01637,12.862933,12.999367,13.136051,13.273612,13.412519,13.552914,13.693778,13.834767,13.975857,398.69547,402.18451,404.49866,406.6488,408.32587,410.74161,399.42441,401.71268,404.0123,406.32236,408.64389,410.97791,10.2294217682,9.70204081583,9.77551020361,10.4056122444,10.3697278907,9.56462584995,8.59166666667,8.225,8.375,8.875,9.09166666667,8.41666666667,10.375,9.83333333333,9.9,10.5416666667,10.4833333333,9.66666666667,354217.744618,385612.430465,333337.012628,508436.426534,530574.924805,546617.755955,800,800,0,240634.989835,257851.350764,226248.29277,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3248,6127,116,0,203,92,0,0,2,0,0,0,598,10386,3252,6127,116,0,203,88,0,0,2,0,0,0,67.98614570404412,945.9297691078806,0.0,84.50051530140931,945.9297691078806,0.0,96.08171065104166,945.9297691078806,0.0,102.8764536713848,945.9297691078806,0.0,84.71380427444852,945.9297691078806,0.0,1268003.4039215683
2,185,2,Pampa Aullagas,40802,Oruro,5,Oruro-Pampa Aullagas,BOL-ADM3-33444609B27878331,47.299999,246,2852,0.0,96.699997,85.199997,0.19,12.3,31.5,19.5,33.599998,111.5,33.700001,40.299999,52.700001,0.0,0.0,0.0,34.099998,0.0,55.099998,1.9,1.2,9.3999996,92.599998,0.0,29.4,2.0,0.80000001,1.1,0.69999999,66.199997,19.5,0.0,64.5,9,34.799999,0.1,41.599998,70.900002,51.700001,7.3000002,22.200001,0.0,0.1,0,4.0999999,12.5,43.599998,3.4000001,0.38999999,11.0,13.5,27.200001,82.099998,0.0,2.3,0.1,0.0,0.0,0.0,0.0,56.5,87.199997,0.30000001,788,18.91,54.580002,72.82,48.720001,77.480003,22.48,45.450001,35.470001,28.93,76.0,25.33,74.610001,50.0,69.220001,9.7700005,2926.0422,2930.1304,2925.2476,2920.4456,2931.2747,2917.2329,2924.5735,2921.3955,2924.3833,2924.4277,2935.4258,2944.4102,2948.998,2946.7283,2939.2947,2952.7051,2951.3447,2957.1394,2962.3892,2961.2444,12.763059,12.927601,12.876277,12.199938,12.289141,13.406137,13.358246,12.98208,13.722827,12.547255,12.643209,12.739682,12.83794,12.93959,13.044642,13.151485,13.259406,13.368216,399.16754,401.31058,403.60504,405.79669,409.45132,410.8764,398.97784,401.38046,403.79791,406.23071,408.67877,411.14096,8.694551278,8.31778845788,8.46298076576,8.97115384237,9.17195512504,8.48878204844,8.59166666667,8.225,8.375,8.875,9.09166666667,8.41666666667,10.375,9.83333333333,9.9,10.5416666667,10.4833333333,9.66666666667,319385.671422,336873.504437,297935.79277,497696.762433,516386.64465,539944.661287,876,876,0,255861.069636,276752.874362,236397.960037,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,811,9518,108,0,219,202,4,0,6,0,0,0,456,11324,813,9530,108,0,219,188,4,0,6,0,0,0,73.39833114381129,1030.905800137367,0.0,59.249582290747554,1030.905800137367,0.0,51.05097916495098,1030.905800137367,0.0,48.75891457469363,1030.905800137367,0.0,46.40980875367647,1030.905800137367,0.0,416792.0
3,205,3,Llallagua,50203,Potosí,7,Potosí-Llallagua,BOL-ADM3-33444609B13957296,58.099998,44,42861,85.300003,53.299999,37.5,0.067000002,54.0,18.0,18.9,2.8,3.7,68.0,43.099998,56.900002,0.0,0.0,0.0,68.199997,47.200001,54.400002,3.9000001,2.5,29.6,92.699997,45.5,69.0,1.8,0.89999998,0.80000001,0.69999999,96.800003,65.699997,0.0,88.5,108,83.900002,0.80000001,5.8000002,61.0,42.5,10.5,20.0,23.4,3.4000001,2,5.6999998,19.5,63.5,3.4000001,0.36000001,81.0,15.0,21.0,43.5,114.0,1.0,0.80000001,0.0,0.0,0.0,1.6,61.5,92.900002,3.0999999,706,60.48,34.73,72.260002,66.889999,72.970001,53.049999,69.360001,47.439999,60.150002,66.57,48.880001,87.620003,50.0,69.269997,12.03,37124.078,37587.055,38141.207,38598.195,38822.41,39387.363,39696.395,40172.496,40422.711,40894.594,41286.734,41232.336,41785.758,42008.801,42489.727,43108.047,43508.594,43985.516,44480.926,44924.027,14.275025,14.39553,14.490864,14.518698,14.763354,14.827301,14.902343,14.960201,14.870754,14.310976,14.400444,14.489757,14.578773,14.667354,14.755211,14.842294,14.928737,15.014818,398.48608,401.94025,404.03146,407.84589,410.13995,410.9303,399.10382,401.66803,404.24701,406.84,409.44592,412.06558,8.47930105511,8.48709675455,8.71962363705,8.86209675455,9.43575266982,8.93064514385,7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,10.4083333333,10.3666666667,10.525,10.7416666667,11.1916666667,10.6,395058.918868,413065.194725,378907.565657,420727.234133,431452.591592,442484.114116,449,449,0,142655.243485,160508.011531,122429.392276,2695,5847,1683,685,536,0,0,0,0,0,212,0,0,36,2693,5847,1683,685,536,0,0,0,0,0,212,0,0,38,2748,5847,1638,675,536,0,0,0,0,0,212,0,0,38,2748,5847,1638,674,536,0,0,0,0,0,212,0,0,39,2720,5847,1670,670,536,0,0,0,0,0,212,0,0,39,349.7807566588848,527.4358484313561,3.8517351875,381.96887481942406,527.4358484313561,3.8517351875,392.9273051994485,527.4358484313561,3.8517351875,392.4439740522672,527.4358484313561,3.8517351875,374.1329100955271,527.4358484313561,3.8517351875,11005673.160784315
4,219,4,Caripuyo,50702,Potosí,7,Potosí-Caripuyo,BOL-ADM3-33444609B2060227,43.5,299,8503,0.0,84.199997,88.800003,0.204,8.3000002,29.5,18.0,5.0,2.2,16.799999,70.300003,98.599998,0.0,0.0,0.0,11.5,0.0,85.900002,4.3000002,1.9,5.9000001,87.099998,40.0,57.099998,3.5999999,0.80000001,0.89999998,0.89999998,93.300003,15.5,0.0,51.0,22,14.0,0.0,30.5,75.599998,68.599998,7.8000002,18.6,0.0,0.40000001,0,3.0,14.6,20.5,0.69999999,0.46000001,26.0,56.5,16.799999,85.800003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.200001,94.0,0.0,433,18.889999,32.189999,59.919998,49.669998,77.059998,33.66,36.0,49.0,16.34,41.639999,31.68,77.529999,50.0,74.139999,4.2399998,8961.5479,8997.2852,9066.5137,9147.9082,9074.5576,9064.5742,9079.457,9065.6289,9169.082,9156.5527,9130.375,9241.0156,9179.7354,9252.2344,9251.8643,9114.1768,9163.9531,9104.1152,9093.3965,9119.4424,11.708997,12.14277,11.809417,11.976866,11.590055,12.510039,12.694351,12.807661,13.150372,11.61288,11.772615,11.932819,12.094685,12.259089,12.426621,12.596191,12.766927,12.938192,399.29892,401.70618,403.43185,408.01205,410.01526,410.72943,399.36063,401.81,404.27417,406.7529,409.24371,411.74719,8.41499999354,8.42444443815,8.6594444384,8.79944443815,9.37722221634,8.87499999441,7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,10.4083333333,10.3666666667,10.525,10.7416666667,11.1916666667,10.6,394026.100175,413416.434058,374161.065577,400281.377553,411223.88604,425500.673042,447,447,0,130019.264051,146686.237369,116697.364796,1667,5775,2568,784,696,0,12,0,26,0,22,0,0,0,1667,5775,2568,784,696,0,12,0,26,0,22,0,0,0,1792,5775,2495,732,696,0,12,0,26,0,22,0,0,0,1792,5775,2495,732,696,0,12,0,26,0,22,0,0,0,1733,5775,2553,733,696,0,12,0,26,0,22,0,0,0,335.99721335392144,526.4104476789817,0.0,371.03922178174,526.4104476789817,0.0,385.4671479884189,526.4104476789817,0.0,388.4040575156248,526.4104476789817,0.0,366.83844145906846,526.4104476789817,0.0,637568.4392156862
5,118,5,Aiquile,30201,Cochabamba,3,Cochabamba-Aiquile,BOL-ADM3-33444609B22499454,50.400002,177,24676,33.799999,52.0,69.099998,0.18700001,41.700001,18.1,23.4,3.4000001,6.8000002,46.599998,31.700001,39.400002,2.0,0.0,0.0,32.900002,41.299999,85.5,3.5,2.5999999,9.5,87.900002,60.0,62.5,1.5,0.89999998,1.2,0.60000002,74.800003,47.5,0.0,62.299999,102,39.799999,1.4,7.8000002,67.599998,37.599998,10.5,30.0,12.3,4.5,3,3.5999999,6.8000002,41.799999,1.9,0.46000001,74.0,37.400002,24.1,54.799999,0.60000002,1.0,1.4,0.0,11.2,0.0,0.0,58.099998,86.599998,2.2,613,41.880001,30.07,73.919998,56.169998,75.690002,36.41,46.43,43.34,42.880001,44.029999,37.82,86.449997,61.189999,69.639999,9.5900002,26320.121,25994.48,25728.09,25445.094,25277.586,25056.887,24719.758,24480.117,24326.766,24095.885,23921.428,23986.42,23508.979,23179.283,22875.342,22949.064,22833.016,22573.273,22415.348,22192.563,14.106005,14.155921,14.098324,14.249661,14.41263,14.606511,14.69456,14.667776,14.758524,14.038036,14.13244,14.226974,14.321885,14.41709,14.51233,14.607327,14.70205,14.796679,398.66403,401.46133,402.02759,405.31924,408.48654,410.39822,398.48941,400.8306,403.18591,405.55737,407.94476,410.34598,18.8941348219,18.7060866354,19.1173950027,19.1993065453,19.2492019151,18.9194170112,17.3666666667,17.1916666667,17.8333333333,17.6416666667,17.6166666667,17.175,20.2333333333,19.9666666667,20.3416666667,20.5166666667,20.4166666667,20.3083333333,549924.626569,580131.981467,523257.131324,446303.852081,490418.577027,527665.19606,2288,2288,0,67841.6057796,107002.89576,25887.3962348,9117,29732,76,55,2499,0,2380,0,15084,3,516,0,0,2,9112,29732,76,55,2479,0,2384,0,15106,3,515,0,0,2,9108,29732,76,55,2479,0,2388,0,15106,3,515,0,0,2,9107,29732,76,55,2479,0,2388,0,15106,3,515,0,0,3,9182,29732,76,55,2396,0,2390,0,15112,3,515,0,0,3,1779.2233335256751,2691.159187144496,4.27957340625,1755.938277735724,2691.159187144496,4.27957340625,1765.0911249909327,2691.159187144496,4.27957340625,1752.2230953789228,2691.159187144496,4.27957340625,1847.783065922427,2691.159187144496,4.27957340625,6689377.48235294
6,218,6,Villa de Sacaca,50701,Potosí,7,Potosí-Villa de Sacaca,BOL-ADM3-33444609B14646898,42.200001,312,19118,12.3,76.800003,88.900002,0.249,13.9,49.200001,11.3,3.0,1.0,30.0,59.0,80.199997,0.0,0.0,0.0,5.0999999,0.0,59.900002,5.8000002,7.6999998,7.5999999,84.5,0.0,68.0,1.3,0.80000001,1.0,0.89999998,77.800003,17.799999,0.0,60.200001,30,20.6,0.1,23.1,76.099998,66.699997,7.9000001,22.299999,0.0,0.69999999,0,1.6,7.5,23.799999,0.89999998,0.52999997,34.0,56.0,22.5,84.400002,0.0,2.0,0.1,0.0,0.0,0.0,0.0,75.800003,89.800003,0.0,511,19.32,28.799999,64.169998,31.52,82.360001,27.26,41.200001,50.209999,11.28,34.5,27.950001,77.5,50.0,80.879997,5.3699999,19041.936,19111.148,19151.291,19205.484,19270.402,19341.951,19433.648,19497.477,19592.5,19679.881,19771.855,19767.326,19817.66,19878.75,19991.605,20033.26,20121.355,20218.48,20301.313,20390.607,11.84995,12.121868,12.064876,12.086696,12.208024,12.586779,12.856441,12.83093,12.948944,11.821608,11.963864,12.106174,12.248992,12.39267,12.537156,12.681931,12.826605,12.971224,398.90979,401.2915,402.90012,407.246,410.15714,410.60889,398.81998,401.34467,403.88574,406.44327,409.01486,411.60019,11.3481537214,11.3539775836,11.5009921013,11.704899156,12.192217461,11.6211699672,7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,421017.68125,438036.133998,401385.207056,393555.338367,412201.867482,441907.462932,780,780,0,106379.782223,124251.669241,88272.3127313,1753,10128,4290,2648,1237,0,56,0,81,0,63,0,0,0,1753,10128,4290,2648,1237,0,56,0,81,0,63,0,0,0,1760,10128,4289,2642,1237,0,56,0,81,0,63,0,0,0,1760,10128,4289,2642,1237,0,56,0,81,0,63,0,0,0,1755,10128,4293,2643,1237,0,56,0,81,0,63,0,0,0,532.1884253483456,920.1502663212916,1.497823328125,581.2408651801468,920.1502663212916,1.497823328125,611.4667190160542,920.1502663212916,1.497823328125,633.76797558989,920.1502663212916,1.497823328125,599.1482331534318,920.1502663212916,1.497823328125,1630110.368627451
7,234,7,Acasio,51302,Potosí,7,Potosí-Acasio,BOL-ADM3-33444609B19396342,42.099998,313,6435,0.0,84.5,82.699997,0.214,12.3,29.5,18.0,3.5,0.0,36.700001,61.599998,80.199997,0.2,0.0,0.0,31.200001,0.0,86.699997,6.6999998,10.3,8.3000002,87.900002,68.400002,60.0,1.0,0.80000001,1.1,0.69999999,72.699997,10.1,0.0,64.5,27,19.799999,0.0,23.0,67.599998,46.099998,6.4000001,25.799999,0.0,0.2,0,2.4000001,8.0,29.1,1.1,0.44,26.0,44.299999,23.299999,87.099998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,81.5,90.800003,0.89999998,337,20.73,30.77,60.849998,38.950001,74.269997,22.18,42.310001,35.939999,15.4,48.310001,26.379999,77.519997,50.0,84.419998,3.9000001,6079.4229,6105.0845,6127.4707,6116.3203,6147.2383,6204.519,6195.5161,6223.2065,6247.5352,6265.8896,6288.7427,6324.7026,6354.4849,6374.6982,6344.9238,6393.9258,6426.2617,6435.4756,6485.4453,6517.0322,11.160867,11.181058,11.304965,11.21473,10.936804,12.358384,12.405064,12.700905,12.95393,10.808137,11.051854,11.296451,11.543138,11.793142,12.046875,12.302601,12.559368,12.816482,397.32861,400.50369,401.30432,404.12729,407.70123,410.0798,397.24164,399.72528,402.22482,404.74231,407.27808,409.83014,14.4615324607,14.4740568993,14.6264434011,14.8184009374,15.2617391105,14.7090232112,10.4083333333,10.3666666667,10.525,10.7416666667,11.1916666667,10.6,18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,456304.241206,468007.927564,441307.508624,405413.893538,417730.538273,434657.617056,321,321,0,77006.5975842,88703.5802866,63053.764609,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,2964,4154,399,68,322,0,243,0,150,0,6,0,0,2,348.4312459577819,373.6226469245325,0.0,350.16822133321085,373.6226469245325,0.0,351.6123425966299,373.6226469245325,0.0,349.5355341495711,373.6226469245325,0.0,347.42599977230395,373.6226469245325,0.0,613805.5686274511
8,182,8,Huanuni,40701,Oruro,5,Oruro-Huanuni,BOL-ADM3-33444609B48998442,56.799999,59,27975,82.400002,46.799999,24.0,0.041999999,45.200001,19.200001,20.6,1.3,1.8,74.699997,38.299999,49.799999,0.0,0.0,0.0,85.800003,181.0,55.599998,5.6999998,2.4000001,16.5,95.900002,40.0,48.299999,2.5999999,1.0,0.5,0.5,95.599998,50.900002,0.0,96.5,180,85.599998,0.80000001,8.3999996,69.400002,35.0,12.1,26.0,18.4,0.80000001,2,4.8000002,24.0,76.300003,0.40000001,0.31,117.0,10.3,17.799999,53.200001,75.099998,1.0,0.80000001,0.0,0.0,0.0,0.0,78.300003,96.199997,0.30000001,1309,65.089996,30.85,70.790001,55.25,53.009998,47.23,75.769997,42.049999,55.939999,69.25,46.049999,87.419998,50.0,86.379997,17.43,19474.75,19874.184,20404.949,20552.34,20982.943,21428.021,21894.07,22606.867,22909.852,23430.723,23924.027,24172.211,25006.039,25643.0,26234.617,26747.563,27025.199,27778.363,28360.246,28972.629,14.401511,14.563268,14.571879,14.534027,14.616848,14.774255,14.824553,14.874644,14.895752,14.428529,14.489658,14.550671,14.611686,14.672879,14.734228,14.795569,14.856846,14.918065,399.31274,401.93454,404.04977,407.40274,409.90747,410.97247,399.5033,401.92227,404.35516,406.80197,409.26147,411.73386,7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,7.80833333333,7.83333333333,8.09166666667,8.20833333333,8.825,8.35,375377.585372,400621.397343,359697.140692,391448.53211,415873.568392,442596.565001,483,483,0,149494.867434,163483.951005,129769.865769,4308,6278,1442,149,330,0,2,0,13,0,6,0,0,28,4237,6278,1513,149,330,0,2,0,13,0,6,0,0,28,4204,6278,1546,148,330,0,2,0,13,0,6,0,0,29,4204,6278,1545,148,330,0,2,0,13,0,6,0,0,30,4168,6278,1581,148,330,0,2,0,13,0,6,0,0,30,409.35342059693664,567.6426109060459,2.1205120344362745,434.5006678139098,567.6426109060459,2.1205120344362745,443.88718663829695,567.6426109060459,2.1205120344362745,438.01230711973074,567.6426109060459,2.1205120344362745,432.9909507061279,567.6426109060459,2.1205120344362745,4900123.054901962
9,174,9,Huachacalla,40501,Oruro,5,Oruro-Huachacalla,BOL-ADM3-33444609B43353864,61.299999,23,1011,0.0,61.799999,22.299999,0.0099999998,69.300003,19.200001,20.6,0.2,0.0,57.900002,35.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0999999,0.0,21.700001,97.099998,33.299999,52.200001,1.0,1.0,0.40000001,,96.599998,77.0,0.0,95.099998,189,88.300003,0.30000001,24.0,36.5,51.5,71.099998,25.0,0.0,0.2,1,2.3,50.0,63.0,6.9000001,0.25,45.0,5.0,7.3000002,26.799999,0.0,2.0,0.30000001,0.0,0.0,0.0,0.0,89.699997,91.5,0.60000002,2526,69.68,30.08,83.470001,63.119999,66.169998,56.970001,78.0,19.120001,53.450001,89.379997,58.709999,77.120003,50.0,89.050003,35.540001,1348.9401,1234.1888,1167.8522,1093.4229,1059.6692,1145.2914,986.27881,963.98895,1016.8475,1055.9362,858.17859,848.68634,806.89105,800.15308,767.57996,706.02332,675.42578,657.39203,636.01538,621.46881,14.866138,14.909245,14.816506,14.798038,15.247589,15.581995,15.627427,15.579352,15.647954,14.725533,14.848745,14.972697,15.097771,15.22396,15.350508,15.476715,15.602466,15.728015,400.08362,402.53845,405.00125,406.82037,408.30884,411.77246,400.23355,402.42606,404.63,406.84564,409.07376,411.31509,8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,214931.745493,218438.48831,210570.941864,468203.881046,471752.677833,474538.781109,18,18,0,242780.207917,245813.401926,239080.490348,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0,231,113,91,27,0,0,0,0,0,0,0,0,0,0.641988671875,19.23464101850416,0.0,1.2294306001838236,19.23464101850416,0.0,0.8014383658088235,19.23464101850416,0.0,1.0154341626838237,19.23464101850416,0.0,0.8014382408088235,19.23464101850416,0.0,891227.4392156863
