asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop
0,Esmeralda,BOL-ADM3-33444609B20338026,2012,2564.9146,2536.343,2543.707,2552.5913
0,Esmeralda,BOL-ADM3-33444609B20338026,2013,2820.8704,2792.3464,2790.4897,2797.4067
0,Esmeralda,BOL-ADM3-33444609B20338026,2014,3077.3789,3070.4287,3062.3196,3066.5601
0,Esmeralda,BOL-ADM3-33444609B20338026,2015,3359.6067,3372.708,3361.3857,3362.3347
0,Esmeralda,BOL-ADM3-33444609B20338026,2016,3707.0911,3702.959,3690.1655,3687.228
0,Esmeralda,BOL-ADM3-33444609B20338026,2017,4065.6479,4063.2993,4051.2773,4043.9277
0,Esmeralda,BOL-ADM3-33444609B20338026,2018,4454.5977,4456.7109,4447.71,4435.3965
0,Esmeralda,BOL-ADM3-33444609B20338026,2019,4886.9614,4887.0107,4882.8599,4864.8999
0,Esmeralda,BOL-ADM3-33444609B20338026,2020,5354.105,5358.2021,5360.5176,5336.0352
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2012,4093.4082,4093.6375,4095.8398,4096.1797
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2013,4171.9414,4176.4517,4176.2246,4176.1372
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2014,4262.7119,4261.2422,4258.1831,4257.6675
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2015,4357.5601,4346.5518,4341.5596,4340.7441
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2016,4434.0586,4431.0459,4426.2271,4425.353
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2017,4517.645,4515.1279,4512.2095,4511.5293
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2018,4591.6426,4599.7305,4599.6211,4599.314
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2019,4682.3174,4686.2759,4688.6406,4688.7842
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2020,4778.1196,4774.9556,4779.3701,4779.9897
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2012,2944.4102,2939.2856,2937.5229,2938.5261
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2013,2948.998,2943.0022,2940.5823,2941.1406
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2014,2946.7283,2945.5278,2943.6519,2943.8345
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2015,2939.2947,2947.6523,2946.7429,2946.5969
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2016,2952.7051,2950.3662,2949.8992,2949.4265
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2017,2951.3447,2953.3193,2953.084,2952.2983
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2018,2957.1394,2956.5361,2956.2949,2955.2012
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2019,2962.3892,2959.7224,2959.5093,2958.1196
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2020,2961.2444,2962.6821,2962.7117,2961.041
3,Llallagua,BOL-ADM3-33444609B13957296,2012,41232.336,41429.965,41496.156,41510.445
3,Llallagua,BOL-ADM3-33444609B13957296,2013,41785.758,41766.332,41874.457,41901.18
3,Llallagua,BOL-ADM3-33444609B13957296,2014,42008.801,42138.895,42263.859,42297.648
3,Llallagua,BOL-ADM3-33444609B13957296,2015,42489.727,42558.512,42666.648,42700.598
3,Llallagua,BOL-ADM3-33444609B13957296,2016,43108.047,43015.273,43082.523,43110.102
3,Llallagua,BOL-ADM3-33444609B13957296,2017,43508.594,43487.766,43509.336,43525.645
3,Llallagua,BOL-ADM3-33444609B13957296,2018,43985.516,43968.59,43945.199,43946.707
3,Llallagua,BOL-ADM3-33444609B13957296,2019,44480.926,44453.668,44388.09,44372.727
3,Llallagua,BOL-ADM3-33444609B13957296,2020,44924.027,44941.316,44836.348,44803.18
4,Caripuyo,BOL-ADM3-33444609B2060227,2012,9241.0156,9195.2119,9172.8076,9154.6816
4,Caripuyo,BOL-ADM3-33444609B2060227,2013,9179.7354,9206.5137,9177.0508,9159.4063
4,Caripuyo,BOL-ADM3-33444609B2060227,2014,9252.2344,9208.7432,9177.4014,9162.2373
4,Caripuyo,BOL-ADM3-33444609B2060227,2015,9251.8643,9197.2725,9173.6641,9163.2334
4,Caripuyo,BOL-ADM3-33444609B2060227,2016,9114.1768,9174.4521,9166.4063,9162.6563
4,Caripuyo,BOL-ADM3-33444609B2060227,2017,9163.9531,9151.3125,9156.9609,9161.0049
4,Caripuyo,BOL-ADM3-33444609B2060227,2018,9104.1152,9129.1807,9146.1563,9158.6553
4,Caripuyo,BOL-ADM3-33444609B2060227,2019,9093.3965,9111.3672,9134.8584,9155.9746
4,Caripuyo,BOL-ADM3-33444609B2060227,2020,9119.4424,9097.1455,9123.541,9153.207
5,Aiquile,BOL-ADM3-33444609B22499454,2012,23986.42,23735.023,23710.025,23723.777
5,Aiquile,BOL-ADM3-33444609B22499454,2013,23508.979,23505.979,23505.619,23518.715
5,Aiquile,BOL-ADM3-33444609B22499454,2014,23179.283,23276.879,23305.154,23316.938
5,Aiquile,BOL-ADM3-33444609B22499454,2015,22875.342,23072.16,23110.301,23118.654
5,Aiquile,BOL-ADM3-33444609B22499454,2016,22949.064,22899.926,22921.447,22923.83
5,Aiquile,BOL-ADM3-33444609B22499454,2017,22833.016,22737.064,22736.652,22731.773
5,Aiquile,BOL-ADM3-33444609B22499454,2018,22573.273,22568.838,22554.314,22541.928
5,Aiquile,BOL-ADM3-33444609B22499454,2019,22415.348,22396.047,22373.822,22353.924
5,Aiquile,BOL-ADM3-33444609B22499454,2020,22192.563,22220.148,22194.734,22167.551
6,Sacaca,BOL-ADM3-33444609B14646898,2012,19767.326,19782.563,19778.602,19779.961
6,Sacaca,BOL-ADM3-33444609B14646898,2013,19817.66,19840.133,19847.57,19850.314
6,Sacaca,BOL-ADM3-33444609B14646898,2014,19878.75,19902.879,19917.594,19921.242
6,Sacaca,BOL-ADM3-33444609B14646898,2015,19991.605,19972.527,19989.125,19992.842
6,Sacaca,BOL-ADM3-33444609B14646898,2016,20033.26,20046.949,20062.135,20065.139
6,Sacaca,BOL-ADM3-33444609B14646898,2017,20121.355,20127.082,20136.699,20138.082
6,Sacaca,BOL-ADM3-33444609B14646898,2018,20218.48,20211.619,20212.545,20211.639
6,Sacaca,BOL-ADM3-33444609B14646898,2019,20301.313,20298.389,20289.293,20285.637
6,Sacaca,BOL-ADM3-33444609B14646898,2020,20390.607,20386.232,20366.547,20359.982
7,Acasio,BOL-ADM3-33444609B19396342,2012,6324.7026,6317.8057,6313.4634,6313.9028
7,Acasio,BOL-ADM3-33444609B19396342,2013,6354.4849,6339.062,6335.7319,6336.3423
7,Acasio,BOL-ADM3-33444609B19396342,2014,6374.6982,6357.5698,6358.0122,6358.8975
7,Acasio,BOL-ADM3-33444609B19396342,2015,6344.9238,6375.1528,6380.5049,6381.6187
7,Acasio,BOL-ADM3-33444609B19396342,2016,6393.9258,6396.4126,6403.5967,6404.5918
7,Acasio,BOL-ADM3-33444609B19396342,2017,6426.2617,6421.123,6427.3291,6427.8257
7,Acasio,BOL-ADM3-33444609B19396342,2018,6435.4756,6448.6709,6451.6299,6451.2974
7,Acasio,BOL-ADM3-33444609B19396342,2019,6485.4453,6479.2593,6476.4175,6474.9663
7,Acasio,BOL-ADM3-33444609B19396342,2020,6517.0322,6510.9609,6501.4614,6498.7651
8,Huanuni,BOL-ADM3-33444609B48998442,2012,24172.211,24420.379,24435.662,24442.537
