asdf_id,shapeName,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020,tr100_pop2001,tr100_pop2002,tr100_pop2003,tr100_pop2004,tr100_pop2005,tr100_pop2006,tr100_pop2007,tr100_pop2008,tr100_pop2009,tr100_pop2010,tr100_pop2011,tr100_pop2012,tr100_pop2013,tr100_pop2014,tr100_pop2015,tr100_pop2016,tr100_pop2017,tr100_pop2018,tr100_pop2019,tr100_pop2020,tr400_pop2001,tr400_pop2002,tr400_pop2003,tr400_pop2004,tr400_pop2005,tr400_pop2006,tr400_pop2007,tr400_pop2008,tr400_pop2009,tr400_pop2010,tr400_pop2011,tr400_pop2012,tr400_pop2013,tr400_pop2014,tr400_pop2015,tr400_pop2016,tr400_pop2017,tr400_pop2018,tr400_pop2019,tr400_pop2020,tr6_pop2001,tr6_pop2002,tr6_pop2003,tr6_pop2004,tr6_pop2005,tr6_pop2006,tr6_pop2007,tr6_pop2008,tr6_pop2009,tr6_pop2010,tr6_pop2011,tr6_pop2012,tr6_pop2013,tr6_pop2014,tr6_pop2015,tr6_pop2016,tr6_pop2017,tr6_pop2018,tr6_pop2019,tr6_pop2020
0,Esmeralda,962.03308,1051.7993,1148.5365,1242.4298,1364.5643,1486.7859,1625.0844,1772.2502,1946.8031,2044.5874,2275.4063,2564.9146,2820.8704,3077.3789,3359.6067,3707.0911,4065.6479,4454.5977,4886.9614,5354.105,960.12183,1047.3452,1142.5159,1246.4362,1360.0779,1484.4948,1620.9343,1770.847,1935.9448,2118.2302,2320.1558,2543.707,2790.4897,3062.3196,3361.3857,3690.1655,4051.2773,4447.71,4882.8599,5360.5176,954.38513,1042.694,1139.1963,1244.7072,1360.1583,1486.5879,1625.17,1777.2269,1944.2468,2127.8931,2330.051,2552.5913,2797.4067,3066.5601,3362.3347,3687.228,4043.9277,4435.3965,4864.8999,5336.0352,963.12708,1050.4852,1145.5582,1249.0314,1362.2184,1485.4479,1619.3668,1764.8685,1924.0033,2100.6929,2304.2969,2536.343,2792.3464,3070.4287,3372.708,3702.959,4063.2993,4456.7109,4887.0107,5358.2021
1,Santuario de Quillacas,3312.9175,3382.0591,3447.3469,3509.0361,3575.7029,3654.4546,3723.5171,3791.8071,3862.3999,3931.6042,4008.8794,4093.4082,4171.9414,4262.7119,4357.5601,4434.0586,4517.645,4591.6426,4682.3174,4778.1196,3315.0527,3379.2471,3444.6646,3511.3284,3579.3027,3648.6245,3719.2922,3791.365,3864.9558,3940.1782,4017.1365,4095.8398,4176.2246,4258.1831,4341.5596,4426.2271,4512.2095,4599.6211,4688.6406,4779.3701,3314.4426,3378.7764,3444.3525,3511.2043,3579.3643,3648.8682,3719.7393,3792.0159,3865.7522,3940.9973,4017.7993,4096.1797,4176.1372,4257.6675,4340.7441,4425.353,4511.5293,4599.314,4688.7842,4779.9897,3314.8884,3379.624,3445.2954,3511.9746,3580.0913,3649.6023,3719.7427,3790.4863,3862.4319,3936.4448,4013.4487,4093.6375,4176.4517,4261.2422,4346.5518,4431.0459,4515.1279,4599.7305,4686.2759,4774.9556
2,Pampa Aullagas,2926.0422,2930.1304,2925.2476,2920.4456,2931.2747,2917.2329,2924.5735,2921.3955,2924.3833,2924.4277,2935.4258,2944.4102,2948.998,2946.7283,2939.2947,2952.7051,2951.3447,2957.1394,2962.3892,2961.2444,2923.8865,2923.9089,2923.9507,2924.0999,2924.45,2925.062,2926.0652,2927.5083,2929.4297,2931.801,2934.5493,2937.5229,2940.5823,2943.6519,2946.7429,2949.8992,2953.084,2956.2949,2959.5093,2962.7117,2920.5103,2921.5745,2922.6516,2923.7793,2924.9993,2926.3428,2927.8599,2929.5776,2931.5144,2933.6694,2936.0205,2938.5261,2941.1406,2943.8345,2946.5969,2949.4265,2952.2983,2955.2012,2958.1196,2961.041,2927.6172,2926.6499,2925.4316,2924.2671,2923.4307,2922.5874,2922.6516,2923.6831,2926.0513,2929.7578,2934.5425,2939.2856,2943.0022,2945.5278,2947.6523,2950.3662,2953.3193,2956.5361,2959.7224,2962.6821
3,Llallagua,37124.078,37587.055,38141.207,38598.195,38822.41,39387.363,39696.395,40172.496,40422.711,40894.594,41286.734,41232.336,41785.758,42008.801,42489.727,43108.047,43508.594,43985.516,44480.926,44924.027,37292.676,37685.445,38080.648,38475.48,38867.734,39256.238,39639.512,40017.137,40389.461,40758.293,41125.941,41496.156,41874.457,42263.859,42666.648,43082.523,43509.336,43945.199,44388.09,44836.348,37343.602,37714.531,38088.566,38464.84,38842.609,39221.398,39600.668,39980.25,40360.313,40741.465,41124.414,41510.445,41901.18,42297.648,42700.598,43110.102,43525.645,43946.707,44372.727,44803.18,37169.043,37623.465,38076.074,38513.219,38931.355,39340.637,39733.902,40111.359,40467.152,40805.199,41122.336,41429.965,41766.332,42138.895,42558.512,43015.273,43487.766,43968.59,44453.668,44941.316
4,Caripuyo,8961.5479,8997.2852,9066.5137,9147.9082,9074.5576,9064.5742,9079.457,9065.6289,9169.082,9156.5527,9130.375,9241.0156,9179.7354,9252.2344,9251.8643,9114.1768,9163.9531,9104.1152,9093.3965,9119.4424,9002.0654,9022.4521,9042.4629,9061.4541,9078.9971,9095.5059,9111.3936,9126.7256,9141.2725,9154.1846,9164.8848,9172.8076,9177.0508,9177.4014,9173.6641,9166.4063,9156.9609,9146.1563,9134.8584,9123.541,9022.2373,9037.3594,9052.3594,9066.9697,9080.9795,9094.3701,9107.1025,9119.0605,9130.0684,9139.8174,9148.084,9154.6816,9159.4063,9162.2373,9163.2334,9162.6563,9161.0049,9158.6553,9155.9746,9153.207,8981.1602,9016.7061,9049.2432,9072.4014,9082.5996,9088.2744,9096.6602,9111.1855,9132.5684,9154.1846,9175.2129,9195.2119,9206.5137,9208.7432,9197.2725,9174.4521,9151.3125,9129.1807,9111.3672,9097.1455
5,Aiquile,26320.121,25994.48,25728.09,25445.094,25277.586,25056.887,24719.758,24480.117,24326.766,24095.885,23921.428,23986.42,23508.979,23179.283,22875.342,22949.064,22833.016,22573.273,22415.348,22192.563,26241.652,25988.912,25739.369,25493.803,25252.842,25016.615,24785.459,24560.162,24340.744,24126.529,23916.664,23710.025,23505.619,23305.154,23110.301,22921.447,22736.652,22554.314,22373.822,22194.734,26207.039,25965.154,25725.773,25489.207,25255.803,25025.707,24799.195,24576.541,24357.857,24143.01,23931.744,23723.777,23518.715,23316.938,23118.654,22923.83,22731.773,22541.928,22353.924,22167.551,26286.412,26010.484,25742.707,25485.635,25239.383,24997.727,24760.652,24537.43,24330.578,24133.479,23939.186,23735.023,23505.979,23276.879,23072.16,22899.926,22737.064,22568.838,22396.047,22220.148
6,Sacaca,19041.936,19111.148,19151.291,19205.484,19270.402,19341.951,19433.648,19497.477,19592.5,19679.881,19771.855,19767.326,19817.66,19878.75,19991.605,20033.26,20121.355,20218.48,20301.313,20390.607,19027.609,19093.229,19159.223,19225.92,19293.549,19362.191,19431.652,19501.529,19571.473,19641.047,19710.023,19778.602,19847.57,19917.594,19989.125,20062.135,20136.699,20212.545,20289.293,20366.547,19024.814,19091.717,19158.893,19226.434,19294.432,19362.893,19431.781,19501.027,19570.539,19640.205,19709.986,19779.961,19850.314,19921.242,19992.842,20065.139,20138.082,20211.639,20285.637,20359.982,19039.844,19096.926,19154.508,19215.232,19281.225,19353.109,19429.762,19508.227,19586.168,19659.451,19724.879,19782.563,19840.133,19902.879,19972.527,20046.949,20127.082,20211.619,20298.389,20386.232
7,Acasio,6079.4229,6105.0845,6127.4707,6116.3203,6147.2383,6204.519,6195.5161,6223.2065,6247.5352,6265.8896,6288.7427,6324.7026,6354.4849,6374.6982,6344.9238,6393.9258,6426.2617,6435.4756,6485.4453,6517.0322,6077.4316,6097.8618,6118.3838,6139.0864,6160.1582,6181.5562,6203.1108,6224.8716,6246.8276,6268.9331,6291.1646,6313.4634,6335.7319,6358.0122,6380.5049,6403.5967,6427.3291,6451.6299,6476.4175,6501.4614,6075.8848,6096.8677,6117.9287,6139.104,6160.4399,6181.9453,6203.5781,6225.3525,6247.2808,6269.3516,6291.5669,6313.9028,6336.3423,6358.8975,6381.6187,6404.5918,6427.8257,6451.2974,6474.9663,6498.7651,6081.0962,6099.4673,6117.6196,6136.1948,6157.4033,6180.3062,6202.2827,6224.5986,6247.4233,6270.7148,6294.4414,6317.8057,6339.062,6357.5698,6375.1528,6396.4126,6421.123,6448.6709,6479.2593,6510.9609
8,Huanuni,19474.75,19874.184,20404.949,20552.34,20982.943,21428.021,21894.07,22606.867,22909.852,23430.723,23924.027,24172.211,25006.039,25643,26234.617,26747.563,27025.199,27778.363,28360.246,28972.629,19445.779,19841.854,20246.287,20659.908,21085.277,21523.961,21976.611,22442.934,22921.666,23413.199,23917.713,24435.662,24967.518,25511.045,26064.145,26625.984,27197.344,27780.324,28375.426,28983.189,19418.148,19823.715,20237.889,20661.148,21094.449,21538.457,21993.637,22460.234,22938.133,23427.672,23929.051,24442.537,24968.326,25505.986,26055.049,26615.398,27187.307,27771.451,28368.092,28977.553,19494.277,19873.025,20255.865,20639.664,21045.68,21482.332,21948.252,22432.834,22915.48,23402.662,23900.52,24420.379,24978.543,25550.928,26115.848,26665.043,27209.355,27774.443,28357.246,28955.094
9,Huachacalla,1348.9401,1234.1888,1167.8522,1093.4229,1059.6692,1145.2914,986.27881,963.98895,1016.8475,1055.9362,858.17859,848.68634,806.89105,800.15308,767.57996,706.02332,675.42578,657.39203,636.01538,621.46881,1287.6798,1239.5679,1193.8088,1150.7576,1110.4661,1072.4194,1035.6764,1000.0716,964.987,929.54553,893.47498,857.65576,822.51648,788.33966,755.21771,723.3335,692.94739,664.11035,636.69318,610.51611,1292.3616,1244.7772,1199.0729,1155.2698,1113.3036,1072.9637,1033.9341,996.10101,959.24872,923.11517,887.60516,852.92615,819.18671,786.46722,754.80511,724.25952,694.90564,666.75922,639.78247,613.9162,1312.5369,1241.17,1178.8331,1128.4526,1090.8951,1061.7424,1032.3838,1007.3075,983.37756,951.04156,907.00482,863.43579,823.18188,786.40045,750.7973,716.44928,685.8374,659.47882,636.25586,614.89594
