asdf_id,shapeName,shapeID,year,pop,tr6_pop,tr100_pop,tr400_pop
0,Esmeralda,BOL-ADM3-33444609B20338026,2001,962.03308,963.12708,960.12183,954.38513
0,Esmeralda,BOL-ADM3-33444609B20338026,2002,1051.7993,1050.4852,1047.3452,1042.694
0,Esmeralda,BOL-ADM3-33444609B20338026,2003,1148.5365,1145.5582,1142.5159,1139.1963
0,Esmeralda,BOL-ADM3-33444609B20338026,2004,1242.4298,1249.0314,1246.4362,1244.7072
0,Esmeralda,BOL-ADM3-33444609B20338026,2005,1364.5643,1362.2184,1360.0779,1360.1583
0,Esmeralda,BOL-ADM3-33444609B20338026,2006,1486.7859,1485.4479,1484.4948,1486.5879
0,Esmeralda,BOL-ADM3-33444609B20338026,2007,1625.0844,1619.3668,1620.9343,1625.17
0,Esmeralda,BOL-ADM3-33444609B20338026,2008,1772.2502,1764.8685,1770.847,1777.2269
0,Esmeralda,BOL-ADM3-33444609B20338026,2009,1946.8031,1924.0033,1935.9448,1944.2468
0,Esmeralda,BOL-ADM3-33444609B20338026,2010,2044.5874,2100.6929,2118.2302,2127.8931
0,Esmeralda,BOL-ADM3-33444609B20338026,2011,2275.4063,2304.2969,2320.1558,2330.051
0,Esmeralda,BOL-ADM3-33444609B20338026,2012,2564.9146,2536.343,2543.707,2552.5913
0,Esmeralda,BOL-ADM3-33444609B20338026,2013,2820.8704,2792.3464,2790.4897,2797.4067
0,Esmeralda,BOL-ADM3-33444609B20338026,2014,3077.3789,3070.4287,3062.3196,3066.5601
0,Esmeralda,BOL-ADM3-33444609B20338026,2015,3359.6067,3372.708,3361.3857,3362.3347
0,Esmeralda,BOL-ADM3-33444609B20338026,2016,3707.0911,3702.959,3690.1655,3687.228
0,Esmeralda,BOL-ADM3-33444609B20338026,2017,4065.6479,4063.2993,4051.2773,4043.9277
0,Esmeralda,BOL-ADM3-33444609B20338026,2018,4454.5977,4456.7109,4447.71,4435.3965
0,Esmeralda,BOL-ADM3-33444609B20338026,2019,4886.9614,4887.0107,4882.8599,4864.8999
0,Esmeralda,BOL-ADM3-33444609B20338026,2020,5354.105,5358.2021,5360.5176,5336.0352
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2001,3312.9175,3314.8884,3315.0527,3314.4426
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2002,3382.0591,3379.624,3379.2471,3378.7764
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2003,3447.3469,3445.2954,3444.6646,3444.3525
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2004,3509.0361,3511.9746,3511.3284,3511.2043
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2005,3575.7029,3580.0913,3579.3027,3579.3643
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2006,3654.4546,3649.6023,3648.6245,3648.8682
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2007,3723.5171,3719.7427,3719.2922,3719.7393
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2008,3791.8071,3790.4863,3791.365,3792.0159
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2009,3862.3999,3862.4319,3864.9558,3865.7522
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2010,3931.6042,3936.4448,3940.1782,3940.9973
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2011,4008.8794,4013.4487,4017.1365,4017.7993
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2012,4093.4082,4093.6375,4095.8398,4096.1797
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2013,4171.9414,4176.4517,4176.2246,4176.1372
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2014,4262.7119,4261.2422,4258.1831,4257.6675
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2015,4357.5601,4346.5518,4341.5596,4340.7441
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2016,4434.0586,4431.0459,4426.2271,4425.353
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2017,4517.645,4515.1279,4512.2095,4511.5293
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2018,4591.6426,4599.7305,4599.6211,4599.314
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2019,4682.3174,4686.2759,4688.6406,4688.7842
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2020,4778.1196,4774.9556,4779.3701,4779.9897
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2001,2926.0422,2927.6172,2923.8865,2920.5103
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2002,2930.1304,2926.6499,2923.9089,2921.5745
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2003,2925.2476,2925.4316,2923.9507,2922.6516
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2004,2920.4456,2924.2671,2924.0999,2923.7793
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2005,2931.2747,2923.4307,2924.45,2924.9993
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2006,2917.2329,2922.5874,2925.062,2926.3428
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2007,2924.5735,2922.6516,2926.0652,2927.8599
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2008,2921.3955,2923.6831,2927.5083,2929.5776
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2009,2924.3833,2926.0513,2929.4297,2931.5144
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2010,2924.4277,2929.7578,2931.801,2933.6694
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2011,2935.4258,2934.5425,2934.5493,2936.0205
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2012,2944.4102,2939.2856,2937.5229,2938.5261
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2013,2948.998,2943.0022,2940.5823,2941.1406
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2014,2946.7283,2945.5278,2943.6519,2943.8345
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2015,2939.2947,2947.6523,2946.7429,2946.5969
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2016,2952.7051,2950.3662,2949.8992,2949.4265
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2017,2951.3447,2953.3193,2953.084,2952.2983
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2018,2957.1394,2956.5361,2956.2949,2955.2012
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2019,2962.3892,2959.7224,2959.5093,2958.1196
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2020,2961.2444,2962.6821,2962.7117,2961.041
3,Llallagua,BOL-ADM3-33444609B13957296,2001,37124.078,37169.043,37292.676,37343.602
3,Llallagua,BOL-ADM3-33444609B13957296,2002,37587.055,37623.465,37685.445,37714.531
3,Llallagua,BOL-ADM3-33444609B13957296,2003,38141.207,38076.074,38080.648,38088.566
3,Llallagua,BOL-ADM3-33444609B13957296,2004,38598.195,38513.219,38475.48,38464.84
3,Llallagua,BOL-ADM3-33444609B13957296,2005,38822.41,38931.355,38867.734,38842.609
3,Llallagua,BOL-ADM3-33444609B13957296,2006,39387.363,39340.637,39256.238,39221.398
3,Llallagua,BOL-ADM3-33444609B13957296,2007,39696.395,39733.902,39639.512,39600.668
3,Llallagua,BOL-ADM3-33444609B13957296,2008,40172.496,40111.359,40017.137,39980.25
3,Llallagua,BOL-ADM3-33444609B13957296,2009,40422.711,40467.152,40389.461,40360.313
3,Llallagua,BOL-ADM3-33444609B13957296,2010,40894.594,40805.199,40758.293,40741.465
3,Llallagua,BOL-ADM3-33444609B13957296,2011,41286.734,41122.336,41125.941,41124.414
3,Llallagua,BOL-ADM3-33444609B13957296,2012,41232.336,41429.965,41496.156,41510.445
3,Llallagua,BOL-ADM3-33444609B13957296,2013,41785.758,41766.332,41874.457,41901.18
3,Llallagua,BOL-ADM3-33444609B13957296,2014,42008.801,42138.895,42263.859,42297.648
3,Llallagua,BOL-ADM3-33444609B13957296,2015,42489.727,42558.512,42666.648,42700.598
3,Llallagua,BOL-ADM3-33444609B13957296,2016,43108.047,43015.273,43082.523,43110.102
3,Llallagua,BOL-ADM3-33444609B13957296,2017,43508.594,43487.766,43509.336,43525.645
3,Llallagua,BOL-ADM3-33444609B13957296,2018,43985.516,43968.59,43945.199,43946.707
3,Llallagua,BOL-ADM3-33444609B13957296,2019,44480.926,44453.668,44388.09,44372.727
3,Llallagua,BOL-ADM3-33444609B13957296,2020,44924.027,44941.316,44836.348,44803.18
4,Caripuyo,BOL-ADM3-33444609B2060227,2001,8961.5479,8981.1602,9002.0654,9022.2373
4,Caripuyo,BOL-ADM3-33444609B2060227,2002,8997.2852,9016.7061,9022.4521,9037.3594
4,Caripuyo,BOL-ADM3-33444609B2060227,2003,9066.5137,9049.2432,9042.4629,9052.3594
4,Caripuyo,BOL-ADM3-33444609B2060227,2004,9147.9082,9072.4014,9061.4541,9066.9697
4,Caripuyo,BOL-ADM3-33444609B2060227,2005,9074.5576,9082.5996,9078.9971,9080.9795
4,Caripuyo,BOL-ADM3-33444609B2060227,2006,9064.5742,9088.2744,9095.5059,9094.3701
4,Caripuyo,BOL-ADM3-33444609B2060227,2007,9079.457,9096.6602,9111.3936,9107.1025
4,Caripuyo,BOL-ADM3-33444609B2060227,2008,9065.6289,9111.1855,9126.7256,9119.0605
4,Caripuyo,BOL-ADM3-33444609B2060227,2009,9169.082,9132.5684,9141.2725,9130.0684
4,Caripuyo,BOL-ADM3-33444609B2060227,2010,9156.5527,9154.1846,9154.1846,9139.8174
4,Caripuyo,BOL-ADM3-33444609B2060227,2011,9130.375,9175.2129,9164.8848,9148.084
4,Caripuyo,BOL-ADM3-33444609B2060227,2012,9241.0156,9195.2119,9172.8076,9154.6816
4,Caripuyo,BOL-ADM3-33444609B2060227,2013,9179.7354,9206.5137,9177.0508,9159.4063
4,Caripuyo,BOL-ADM3-33444609B2060227,2014,9252.2344,9208.7432,9177.4014,9162.2373
