asdf_id,shapeName,co2015,co2016,co2017,co2018,co2019,co2020,shapeID,tr100_co2015,tr100_co2016,tr100_co2017,tr100_co2018,tr100_co2019,tr100_co2020,tr400_co2015,tr400_co2016,tr400_co2017,tr400_co2018,tr400_co2019,tr400_co2020,tr6_co2015,tr6_co2016,tr6_co2017,tr6_co2018,tr6_co2019,tr6_co2020
0,Esmeralda,400.66104,402.3187,404.97272,406.84192,408.98264,410.99747,BOL-ADM3-33444609B20338026,400.55966,402.63971,404.73151,406.83301,408.94446,411.0661,400.56021,402.63989,404.73074,406.83206,408.94409,411.06708,400.55298,402.63318,404.74173,406.84543,408.94797,411.05276
1,Santuario de Quillacas,398.69547,402.18451,404.49866,406.6488,408.32587,410.74161,BOL-ADM3-33444609B53994240,399.41489,401.71478,404.02039,406.32953,408.64407,410.96948,399.42441,401.71268,404.0123,406.32236,408.64389,410.97791,399.27704,401.74869,404.14139,406.4295,408.64407,410.85287
2,Pampa Aullagas,399.16754,401.31058,403.60504,405.79669,409.45132,410.8764,BOL-ADM3-33444609B27878331,398.98013,401.3797,403.79562,406.22897,408.67975,411.14233,398.97784,401.38046,403.79791,406.23071,408.67877,411.14096,399.01553,401.36859,403.76019,406.20593,408.6973,411.15881
3,Llallagua,398.48608,401.94025,404.03146,407.84589,410.13995,410.9303,BOL-ADM3-33444609B13957296,399.09146,401.66901,404.25723,406.8526,409.44904,412.05106,399.10382,401.66803,404.24701,406.84,409.44592,412.06558,398.91547,401.68222,404.39874,407.035,409.50156,411.83774
4,Caripuyo,399.29892,401.70618,403.43185,408.01205,410.01526,410.72943,BOL-ADM3-33444609B2060227,399.35434,401.80942,404.27899,406.76163,409.24701,411.73758,399.36063,401.81,404.27417,406.7529,409.24371,411.74719,399.26981,401.7933,404.3374,406.89316,409.3042,411.59134
5,Aiquile,398.66403,401.46133,402.02759,405.31924,408.48654,410.39822,BOL-ADM3-33444609B22499454,398.49625,400.83002,403.17899,405.55179,407.94476,410.35223,398.48941,400.8306,403.18591,405.55737,407.94476,410.34598,398.59277,400.82294,403.0773,405.47076,407.95078,410.43951
6,Sacaca,398.90979,401.2915,402.90012,407.246,410.15714,410.60889,BOL-ADM3-33444609B14646898,398.81693,401.34372,403.88748,406.4487,409.01797,411.59369,398.81998,401.34467,403.88574,406.44327,409.01486,411.60019,398.78024,401.3223,403.90173,406.53516,409.07669,411.49265
7,Acasio,397.32861,400.50369,401.30432,404.12729,407.70123,410.0798,BOL-ADM3-33444609B19396342,397.24902,399.72507,402.21753,404.73517,407.27731,409.83795,397.24164,399.72528,402.22482,404.74231,407.27808,409.83014,397.35303,399.72736,402.11206,404.62866,407.27072,409.95074
8,Huanuni,399.31274,401.93454,404.04977,407.40274,409.90747,410.97247,BOL-ADM3-33444609B48998442,399.49738,401.92227,404.35999,406.80878,409.26379,411.7262,399.5033,401.92227,404.35516,406.80197,409.26147,411.73386,399.41641,401.91959,404.42148,406.90771,409.30283,411.60999
9,Huachacalla,400.08362,402.53845,405.00125,406.82037,408.30884,411.77246,BOL-ADM3-33444609B43353864,400.23337,402.42664,404.63058,406.84467,409.0722,411.31647,400.23355,402.42606,404.63,406.84564,409.07376,411.31509,400.2265,402.44046,404.64371,406.82816,409.04413,411.341
