asdf_id,shapeName,shapeID,year,co,tr6_co,tr100_co,tr400_co
0,Esmeralda,BOL-ADM3-33444609B20338026,2015,400.66104,400.55298,400.55966,400.56021
0,Esmeralda,BOL-ADM3-33444609B20338026,2016,402.3187,402.63318,402.63971,402.63989
0,Esmeralda,BOL-ADM3-33444609B20338026,2017,404.97272,404.74173,404.73151,404.73074
0,Esmeralda,BOL-ADM3-33444609B20338026,2018,406.84192,406.84543,406.83301,406.83206
0,Esmeralda,BOL-ADM3-33444609B20338026,2019,408.98264,408.94797,408.94446,408.94409
0,Esmeralda,BOL-ADM3-33444609B20338026,2020,410.99747,411.05276,411.0661,411.06708
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2015,398.69547,399.27704,399.41489,399.42441
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2016,402.18451,401.74869,401.71478,401.71268
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2017,404.49866,404.14139,404.02039,404.0123
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2018,406.6488,406.4295,406.32953,406.32236
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2019,408.32587,408.64407,408.64407,408.64389
1,Santuario de Quillacas,BOL-ADM3-33444609B53994240,2020,410.74161,410.85287,410.96948,410.97791
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2015,399.16754,399.01553,398.98013,398.97784
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2016,401.31058,401.36859,401.3797,401.38046
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2017,403.60504,403.76019,403.79562,403.79791
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2018,405.79669,406.20593,406.22897,406.23071
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2019,409.45132,408.6973,408.67975,408.67877
2,Pampa Aullagas,BOL-ADM3-33444609B27878331,2020,410.8764,411.15881,411.14233,411.14096
3,Llallagua,BOL-ADM3-33444609B13957296,2015,398.48608,398.91547,399.09146,399.10382
3,Llallagua,BOL-ADM3-33444609B13957296,2016,401.94025,401.68222,401.66901,401.66803
3,Llallagua,BOL-ADM3-33444609B13957296,2017,404.03146,404.39874,404.25723,404.24701
3,Llallagua,BOL-ADM3-33444609B13957296,2018,407.84589,407.035,406.8526,406.84
3,Llallagua,BOL-ADM3-33444609B13957296,2019,410.13995,409.50156,409.44904,409.44592
3,Llallagua,BOL-ADM3-33444609B13957296,2020,410.9303,411.83774,412.05106,412.06558
