asdf_id,shapeName,ntl2012,ntl2013,ntl2014,ntl2015,ntl2016,ntl2017,ntl2018,ntl2019,ntl2020,tr100_ntl2012,tr100_ntl2013,tr100_ntl2014,tr100_ntl2015,tr100_ntl2016,tr100_ntl2017,tr100_ntl2018,tr100_ntl2019,tr100_ntl2020,tr400_ntl2012,tr400_ntl2013,tr400_ntl2014,tr400_ntl2015,tr400_ntl2016,tr400_ntl2017,tr400_ntl2018,tr400_ntl2019,tr400_ntl2020,tr6_ntl2012,tr6_ntl2013,tr6_ntl2014,tr6_ntl2015,tr6_ntl2016,tr6_ntl2017,tr6_ntl2018,tr6_ntl2019,tr6_ntl2020
0,Esmeralda,3.185064554214478,5.134267330169678,1.773889422416687,4.047488212585449,17.8665943145752,34.35800552368164,38.42438507080078,39.21588897705078,38.63735198974609,2.3218238,3.4529977,5.1515255,7.7650523,11.783843,17.823761,26.71324,39.6973,58.745621,2.312567,3.4634359,5.1911917,7.800992,11.742604,17.660685,26.499086,39.674366,59.33672,2.5437534,3.3323519,4.5253258,7.076704,12.186482,20.209299,30.005243,40.368076,51.818314
1,Santuario de Quillacas,17.4960765838623,21.2895679473877,20.31747817993164,22.24385452270508,18.62920761108398,45.46524810791016,46.23018646240234,46.27662658691406,58.41024398803711,15.969408,18.524202,21.507311,25.051294,29.324152,34.515144,40.686314,47.974041,56.585159,15.800829,18.464094,21.58173,25.247631,29.575403,34.695999,40.721642,47.799496,56.113121,17.266586,18.958427,20.860079,23.481279,27.489441,33.730976,41.082767,49.334217,59.127373
2,Pampa Aullagas,10.27836990356445,12.13556957244873,11.51957130432129,5.84263801574707,6.416913986206055,19.59886169433594,18.71907043457031,12.87323665618896,26.99120330810547,8.4953823,9.1908598,9.9622269,10.869729,12.011813,13.442948,15.139876,17.115004,19.411678,8.266715,9.1073418,10.038926,11.085807,12.283725,13.657665,15.212647,16.963005,18.93158,10.258544,9.8241968,9.4111481,9.3312149,10.234056,12.311238,14.948401,18.16061,22.685204
3,Llallagua,652.833984375,746.3242797851563,825.3580932617188,858.369384765625,1112.248168945313,1196.713500976563,1304.111572265625,1397.355102539063,1290.520874023438,677.63013,750.48035,830.85333,919.09741,1015.3979,1119.0167,1229.8319,1348.4667,1476.5557,681.2951,752.07233,830.11359,916.03992,1010.4847,1113.9146,1227.0226,1350.7783,1486.4883,656.85681,739.25256,831.16718,934.09473,1048.6976,1159.676,1257.2256,1336.6693,1402.3627
4,Caripuyo,11.24274063110352,17.23329162597656,12.44546413421631,14.7135009765625,9.844965934753418,24.83840751647949,29.67046165466309,33.19116592407227,46.89235305786133,10.345334,11.970919,13.863484,16.140709,18.956221,22.513044,26.927633,32.336773,38.905064,10.117025,11.875426,13.943092,16.394701,19.323059,22.843163,27.057528,32.085617,38.06789,11.98362,12.720101,13.364666,14.442989,16.49309,20.506729,26.338495,34.18618,44.711605
5,Aiquile,320.7195739746094,330.4244689941406,307.5560302734375,353.1154479980469,416.9564819335938,503.6056213378906,543.701904296875,525.629638671875,569.8402709960938,296.96951,322.88901,351.34006,382.97607,418.06149,456.49524,498.02802,542.76471,591.29999,296.36404,322.88962,351.85846,383.59967,418.3598,456.30807,497.59125,542.46661,591.33496,304.00092,322.01321,344.02707,375.44257,416.34265,462.14767,505.94128,545.68774,585.93909
6,Sacaca,27.68954849243164,36.43451690673828,34.52216339111328,35.48403167724609,40.14476776123047,58.88786697387695,77.48724365234375,75.84483337402344,85.72061920166016,27.100449,31.221888,35.97794,41.540409,48.122322,55.919735,65.048676,75.631699,87.914543,26.932974,31.16073,36.054604,41.739201,48.362663,56.083591,65.056984,75.459221,87.520203,28.376551,31.703098,35.281055,39.832836,46.307568,55.232422,65.820465,77.108543,89.681686
7,Acasio,4.447775840759277,4.559866428375244,5.177781105041504,4.708926677703857,3.593858480453491,14.96706008911133,15.70475387573242,21.27515602111816,27.53405380249023,3.2135177,4.0328188,5.0774856,6.4423618,8.2761412,10.781191,14.145117,18.625954,24.554344,3.1204131,3.9957459,5.1211557,6.5773625,8.4759436,10.963656,14.210152,18.437489,23.930845,3.9584322,4.2944369,4.7466631,5.4984016,6.9623671,9.8059063,14.060922,20.10503,28.576809
8,Huanuni,434.3235168457031,528.19189453125,546.3309936523438,538.1737670898438,596.0746459960938,704.9302368164063,761.9534912109375,817.8734130859375,853.3568725585938,451.41534,490.12357,531.94495,577.32056,626.9469,681.2016,740.11603,803.89874,872.9801,451.20789,489.96841,532.00787,577.6521,627.31177,681.33411,740.00165,803.66724,872.76031,452.50064,492.15448,531.78467,573.5647,623.12964,681.1366,742.98016,806.5296,872.42249
9,Huachacalla,24.26772117614746,24.08892059326172,21.77209091186523,20.50360679626465,29.56398963928223,39.51408767700195,40.24663925170898,37.11030197143555,38.83644104003906,21.29026,23.031019,24.94673,27.10479,29.55172,32.254047,35.157047,38.256996,41.6017,21.189911,23.020304,25.017298,27.209059,29.619381,32.252754,35.109203,38.202961,41.562283,22.34296,23.017492,24.027945,25.943066,29.108828,32.84193,36.142254,38.762775,41.184605
