asdf_id,shapeName,ln_NTLpc2012,ln_NTLpc2013,ln_NTLpc2014,ln_NTLpc2015,ln_NTLpc2016,ln_NTLpc2017,ln_NTLpc2018,ln_NTLpc2019,ln_NTLpc2020,ln_t100NTLpc2012,ln_t100NTLpc2013,ln_t100NTLpc2014,ln_t100NTLpc2015,ln_t100NTLpc2016,ln_t100NTLpc2017,ln_t100NTLpc2018,ln_t100NTLpc2019,ln_t100NTLpc2020,ln_t400NTLpc2012,ln_t400NTLpc2013,ln_t400NTLpc2014,ln_t400NTLpc2015,ln_t400NTLpc2016,ln_t400NTLpc2017,ln_t400NTLpc2018,ln_t400NTLpc2019,ln_t400NTLpc2020,ln_t6NTLpc2012,ln_t6NTLpc2013,ln_t6NTLpc2014,ln_t6NTLpc2015,ln_t6NTLpc2016,ln_t6NTLpc2017,ln_t6NTLpc2018,ln_t6NTLpc2019,ln_t6NTLpc2020
0,Esmeralda,11.729473,12.111817,10.962022,11.699198,13.08561,13.647187,13.667681,13.595437,13.489282,11.421656,11.725951,12.033046,12.350205,12.673984,12.994426,13.305696,13.608478,13.907082,11.414175,11.726494,12.039332,12.354541,12.671274,12.98705,13.300419,13.611585,13.921671,11.515842,11.689721,11.900798,12.254018,12.704121,13.117073,13.419887,13.624384,13.782041
1,Santuario de Quillacas,12.965525,13.142761,13.074501,13.143079,12.94834,13.821883,13.822321,13.803769,14.01637,12.873629,13.002596,13.132476,13.265617,13.40379,13.547537,13.692843,13.838443,13.984364,12.862933,12.999367,13.136051,13.273612,13.412519,13.552914,13.693778,13.834767,13.975857,12.952265,13.025712,13.101202,13.199746,13.338092,13.523909,13.702517,13.866905,14.029235
2,Pampa Aullagas,12.763059,12.927601,12.876277,12.199938,12.289141,13.406137,13.358246,12.98208,13.722827,12.574882,12.652527,12.732075,12.818207,12.917045,13.02853,13.14632,13.267858,13.392695,12.547255,12.643209,12.739682,12.83794,12.93959,13.044642,13.151485,13.259406,13.368216,12.76287,12.718344,12.674532,12.665281,12.756717,12.940508,13.133512,13.327085,13.548543
3,Llallagua,14.275025,14.39553,14.490864,14.518698,14.763354,14.827301,14.902343,14.960201,14.870754,14.305926,14.398963,14.491446,14.5829,14.672844,14.760156,14.844615,14.926678,15.007374,14.310976,14.400444,14.489757,14.578773,14.667354,14.755211,14.842294,14.928737,15.014818,14.276387,14.386475,14.494785,14.601624,14.706675,14.796342,14.866113,14.916414,14.953482
4,Caripuyo,11.708997,12.14277,11.809417,11.976866,11.590055,12.510039,12.694351,12.807661,13.150372,11.633218,11.7787,11.92544,12.077933,12.239512,12.412506,12.592745,12.777033,12.963192,11.61288,11.772615,11.932819,12.094685,12.259089,12.426621,12.596191,12.766927,12.938192,11.777783,11.836198,11.885386,11.964228,12.099444,12.319781,12.572481,12.835224,13.105198
5,Aiquile,14.106005,14.155921,14.098324,14.249661,14.41263,14.606511,14.69456,14.667776,14.758524,14.040657,14.132995,14.226006,14.32062,14.416481,14.512526,14.607656,14.70171,14.795394,14.038036,14.13244,14.226974,14.321885,14.41709,14.51233,14.607327,14.70205,14.796679,14.063004,14.130263,14.206185,14.302404,14.413301,14.524814,14.622776,14.706088,14.785142
6,Sacaca,11.84995,12.121868,12.064876,12.086696,12.208024,12.586779,12.856441,12.83093,12.948944,11.827875,11.965963,12.104228,12.244404,12.387837,12.534299,12.681758,12.828708,12.975397,11.821608,11.963864,12.106174,12.248992,12.39267,12.537156,12.681931,12.826605,12.971224,11.873688,11.981633,12.085407,12.203259,12.350154,12.522409,12.693599,12.847598,12.994332
7,Acasio,11.160867,11.181058,11.304965,11.21473,10.936804,12.358384,12.405064,12.700905,12.95393,10.837607,11.061186,11.288026,11.522573,11.769443,12.030169,12.297962,12.569314,12.841787,10.808137,11.051854,11.296451,11.543138,11.793142,12.046875,12.302601,12.559368,12.816482,11.045402,11.123515,11.220721,11.364975,11.597708,11.936317,12.292451,12.645289,12.992034
8,Huanuni,14.401511,14.563268,14.571879,14.534027,14.616848,14.774255,14.824553,14.874644,14.895752,14.42927,14.490007,14.550354,14.610763,14.6719,14.733665,14.795404,14.856875,14.918122,14.428529,14.489658,14.550671,14.611686,14.672879,14.734228,14.795569,14.856846,14.918065,14.432297,14.493701,14.548491,14.602254,14.664327,14.733128,14.799479,14.860784,14.918453
9,Huachacalla,14.866138,14.909245,14.816506,14.798038,15.247589,15.581995,15.627427,15.579352,15.647954,14.724728,14.845154,14.967494,15.093385,15.222952,15.35337,15.482058,15.608719,15.734517,14.725533,14.848745,14.972697,15.097771,15.22396,15.350508,15.476715,15.602466,15.728015,14.766273,14.843758,14.932432,15.055449,15.217415,15.381746,15.516693,15.62254,15.717292
