asdf_id,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2016.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,400.661054733,404.972717847,408.98264102,410.997478563,406.841928826,402.318685926,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,398.695461721,404.498654148,408.32585212,410.741602705,406.648788506,402.184496444,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,399.167532231,403.605050457,409.451334925,410.87640426,405.79670333,401.310585897,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,398.486084581,404.031476335,410.139961894,410.930299607,407.845897287,401.940246931,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,399.298927374,403.431864032,410.015259495,410.729418251,408.012068214,401.706164993,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,398.664023524,402.027580786,408.486542805,410.398229731,405.319234397,401.461321123,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,398.909800692,402.900104243,410.157148138,410.608882976,407.246015699,401.29151339,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,397.328625534,401.304311628,407.701245444,410.079802782,404.127301599,400.503681685,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,399.312749745,404.049760935,409.907477543,410.972468031,407.402751102,401.93453813,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,400.083630912,405.001264416,408.308837525,411.772471997,406.820378347,402.538445885,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,397.981458954,404.101852155,407.854882308,410.361867458,406.385859515,402.047505134,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,398.974202092,404.816424037,409.990639197,411.334406576,407.136226322,402.51083118,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,398.745487043,404.325501925,408.483548815,411.336618402,404.755279159,400.558936365,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,400.308921422,404.389727162,409.858712528,410.618929178,405.95758041,401.777845095,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
14,400.138885281,404.902841473,413.223301733,412.591021361,409.159190743,402.649451264,ADM3,14,14,BOL,BOL-ADM3-33444609B33779243,Chacarilla,ADM3
15,397.873895397,403.424767771,408.844911788,411.317494723,405.903855554,401.002484996,ADM3,15,15,BOL,BOL-ADM3-33444609B65270572,Arbieto,ADM3
16,401.602462222,404.430142467,410.513694532,411.310907774,405.70145936,403.338908917,ADM3,16,16,BOL,BOL-ADM3-33444609B96301403,Papel Pampa,ADM3
17,399.935084527,404.351542007,411.446937652,411.779336991,407.689720106,402.592509053,ADM3,17,17,BOL,BOL-ADM3-33444609B33786797,Umala,ADM3
18,400.286915959,405.211902781,409.119587635,411.402563898,406.55618538,402.770152848,ADM3,18,18,BOL,BOL-ADM3-33444609B89522171,Oruro,ADM3
19,401.023097474,404.537497402,411.368666466,411.704173776,406.113883218,403.246782441,ADM3,19,19,BOL,BOL-ADM3-33444609B49437729,Huayllamarca,ADM3
20,400.784821313,405.521080858,412.492325208,411.594893215,407.446400499,403.181389714,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,400.772028796,403.621017033,410.317337721,411.255870535,404.835347069,401.881529646,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,398.448832036,403.331085519,408.954547829,410.955280366,406.090309495,403.081647312,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,399.831706403,403.197407433,410.852433398,411.192061481,405.193376345,401.16801756,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,400.698212692,402.967450993,409.865032108,411.108629022,404.959841407,400.944021785,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,399.820825991,405.018803396,410.422080372,411.217735564,406.561375083,402.302959746,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,398.324391179,402.938212155,408.223594019,410.599595006,405.279602705,400.04087885,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,400.914231325,405.02199053,409.648066997,409.814570639,404.680637979,402.599236856,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,398.426182495,404.243847809,408.973913444,409.780318214,407.090878564,401.544939324,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,399.418624196,403.771636203,409.458197434,411.754585166,407.425732083,402.651330763,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,399.742272444,404.34838142,410.06979264,412.231390974,408.287254083,403.009640535,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,398.688053993,403.208192156,409.143081067,411.854921143,406.03740688,400.839897356,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,398.645637901,401.874738591,407.9291264,409.077303015,405.05169546,400.655726327,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,398.949447189,403.411105909,409.53603145,412.284401011,405.554511504,401.497518915,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,399.519326211,402.98321709,408.891804234,410.956633571,405.449819316,401.589925709,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,398.292352201,402.747649939,408.071372014,409.662634029,405.909130843,401.077394125,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,397.919739229,402.435707013,407.575361455,409.621767936,405.830286715,401.564783709,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,397.777532929,402.336378723,407.58473797,408.867733524,405.884034733,401.34847513,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,399.479591798,402.714383691,411.716026627,409.317326223,405.244292585,402.76166917,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,397.347297181,402.612615786,407.069067614,409.956333082,405.360300255,401.414505138,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,398.057804647,402.966516532,408.948077802,410.426361965,405.632797137,400.509158712,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,398.841426149,405.025236451,408.961611081,412.212261155,407.234197073,403.26924577,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,398.955404198,403.962689749,409.105871489,411.05274122,406.111531922,402.144110648,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,398.564469364,404.281629198,409.387223377,412.17093691,407.715925976,402.596655138,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,399.656447058,403.60765117,408.893233001,410.885714903,406.202406619,402.075719608,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,398.706325259,402.995413931,407.786813919,410.10893743,405.686622398,401.240632961,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,398.356692631,403.572486389,408.813849766,410.292679121,406.703518356,401.793418378,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,398.442519687,403.128583157,408.151410418,410.058123827,407.112162484,401.681994797,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,397.41399324,402.265314281,408.741505221,409.418670258,405.452928462,401.647848323,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,397.266227899,403.069956537,407.628984398,409.30515526,405.752921736,401.405547953,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,396.94879722,403.142544364,407.733727573,409.748745638,406.43003739,401.461391867,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,398.400078427,403.329219421,408.647516906,411.948044485,406.664533593,401.749646319,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,397.160888996,400.925212656,407.097093186,410.237516985,403.520263565,400.213099071,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,398.674372896,402.494531427,408.233106281,411.269045159,404.517331338,400.965792134,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,398.804890595,404.611645052,409.307123426,411.412964848,406.109450473,402.623358382,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
