asdf_id,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,735.16998291,889.892944336,735.16998291,962.033081055,735.16998291,1148.53649902,735.16998291,1051.79931641,735.16998291,1364.56433105,735.16998291,1242.42980957,735.16998291,1486.78588867,735.16998291,1772.25024414,735.16998291,1625.08435059,735.16998291,1946.80310059,735.16998291,2044.58740234,735.16998291,2275.40625,735.16998291,2564.91455078,735.16998291,2820.87036133,735.16998291,3077.37890625,735.16998291,3359.60668945,735.16998291,3707.09106445,735.16998291,4065.64794922,735.16998291,4454.59765625,735.16998291,4886.96142578,735.16998291,5354.10498047,ADM3,0,0,BOL,BOL-ADM3-33444609B20338026,Esmeralda,ADM3
1,1166.23999023,inf,1163.23999023,3312.91748047,1163.23999023,3447.34692383,1163.23999023,3382.05908203,1163.23999023,3575.70288086,1163.23999023,3509.03613281,1163.23999023,3654.45458984,1163.23999023,3791.80712891,1163.23999023,3723.51708984,1163.23999023,3862.39990234,1163.23999023,3931.60424805,1163.23999023,4008.87939453,1163.23999023,4093.40820312,1163.23999023,4171.94140625,1163.23999023,4262.71191406,1163.23999023,4357.56005859,1163.23999023,4434.05859375,1163.23999023,4517.64501953,1163.23999023,4591.64257812,1163.23999023,4682.31738281,1163.23999023,4778.11962891,ADM3,1,1,BOL,BOL-ADM3-33444609B53994240,Santuario de Quillacas,ADM3
2,1270.10009766,inf,1255.64013672,2926.04223633,1255.64013672,2925.24755859,1255.64013672,2930.13037109,1255.64013672,2931.2746582,1255.64013672,2920.44555664,1255.64013672,2917.23291016,1255.64013672,2921.39550781,1255.64013672,2924.57348633,1255.64013672,2924.38330078,1255.64013672,2924.42773438,1255.64013672,2935.42578125,1255.64013672,2944.41015625,1255.64013672,2948.99804688,1255.64013672,2946.72827148,1255.64013672,2939.29467773,1255.64013672,2952.70507812,1255.64013672,2951.34472656,1255.64013672,2957.1394043,1255.64013672,2962.38916016,1255.64013672,2961.24438477,ADM3,2,2,BOL,BOL-ADM3-33444609B27878331,Pampa Aullagas,ADM3
3,657.440002441,36564.984375,657.440002441,37124.078125,657.440002441,38141.2070312,657.440002441,37587.0546875,657.440002441,38822.4101562,657.440002441,38598.1953125,657.440002441,39387.3632812,657.440002441,40172.4960938,657.440002441,39696.3945312,657.440002441,40422.7109375,657.440002441,40894.59375,657.440002441,41286.734375,657.440002441,41232.3359375,657.440002441,41785.7578125,657.440002441,42008.8007812,657.440002441,42489.7265625,657.440002441,43108.046875,657.440002441,43508.59375,657.440002441,43985.515625,657.440002441,44480.9257812,657.440002441,44924.0273438,ADM3,3,3,BOL,BOL-ADM3-33444609B13957296,Llallagua,ADM3
4,650.480041504,9048.19433594,650.480041504,8961.54785156,650.480041504,9066.51367188,650.480041504,8997.28515625,650.480041504,9074.55761719,650.480041504,9147.90820312,650.480041504,9064.57421875,650.480041504,9065.62890625,650.480041504,9079.45703125,650.480041504,9169.08203125,650.480041504,9156.55273438,650.480041504,9130.375,650.480041504,9241.015625,650.480041504,9179.73535156,650.480041504,9252.234375,650.480041504,9251.86425781,650.480041504,9114.17675781,650.480041504,9163.953125,650.480041504,9104.11523438,650.480041504,9093.39648438,650.480041504,9119.44238281,ADM3,4,4,BOL,BOL-ADM3-33444609B2060227,Caripuyo,ADM3
5,3324.90991211,26456.015625,3324.90991211,26320.1210938,3324.90991211,25728.0898438,3324.90991211,25994.4804688,3324.90991211,25277.5859375,3324.90991211,25445.09375,3324.90991211,25056.8867188,3324.90991211,24480.1171875,3324.90991211,24719.7578125,3324.90991211,24326.765625,3324.90991211,24095.8847656,3324.90991211,23921.4277344,3324.90991211,23986.4199219,3324.90991211,23508.9785156,3324.90991211,23179.2832031,3324.90991211,22875.3417969,3324.90991211,22949.0644531,3324.90991211,22833.015625,3324.90991211,22573.2734375,3324.90991211,22415.3476562,3324.90991211,22192.5625,ADM3,5,5,BOL,BOL-ADM3-33444609B22499454,Aiquile,ADM3
6,1137.52001953,18988.3046875,1137.52001953,19041.9355469,1137.52001953,19151.2910156,1137.52001953,19111.1484375,1137.52001953,19270.4023438,1137.52001953,19205.484375,1137.52001953,19341.9511719,1137.52001953,19497.4765625,1137.52001953,19433.6484375,1137.52001953,19592.5,1137.52001953,19679.8808594,1137.52001953,19771.8554688,1137.52001953,19767.3261719,1137.52001953,19817.6601562,1137.52001953,19878.75,1137.52001953,19991.6054688,1137.52001953,20033.2597656,1137.52001953,20121.3554688,1137.52001953,20218.4804688,1137.52001953,20301.3125,1137.52001953,20390.6074219,ADM3,6,6,BOL,BOL-ADM3-33444609B14646898,Sacaca,ADM3
7,468.75,6039.66210938,468.75,6079.42285156,468.75,6127.47070312,468.75,6105.08447266,468.75,6147.23828125,468.75,6116.3203125,468.75,6204.51904297,468.75,6223.20654297,468.75,6195.51611328,468.75,6247.53515625,468.75,6265.88964844,468.75,6288.74267578,468.75,6324.70263672,468.75,6354.48486328,468.75,6374.69824219,468.75,6344.92382812,468.75,6393.92578125,468.75,6426.26171875,468.75,6435.47558594,468.75,6485.4453125,468.75,6517.03222656,ADM3,7,7,BOL,BOL-ADM3-33444609B19396342,Acasio,ADM3
8,710.170043945,19372.2539062,710.170043945,19474.75,710.170043945,20404.9492188,710.170043945,19874.1835938,710.170043945,20982.9433594,710.170043945,20552.3398438,710.170043945,21428.0214844,710.170043945,22606.8671875,710.170043945,21894.0703125,710.170043945,22909.8515625,710.170043945,23430.7226562,710.170043945,23924.0273438,710.170043945,24172.2109375,710.170043945,25006.0390625,710.170043945,25643.0,710.170043945,26234.6171875,710.170043945,26747.5625,710.170043945,27025.1992188,710.170043945,27778.3632812,710.170043945,28360.2460938,710.170043945,28972.6289062,ADM3,8,8,BOL,BOL-ADM3-33444609B48998442,Huanuni,ADM3
9,27.1899986267,1330.38671875,27.1899986267,1348.94006348,27.1899986267,1167.85217285,27.1899986267,1234.18884277,27.1899986267,1059.66918945,27.1899986267,1093.42285156,27.1899986267,1145.29138184,27.1899986267,963.988952637,27.1899986267,986.278808594,27.1899986267,1016.84753418,27.1899986267,1055.93615723,27.1899986267,858.178588867,27.1899986267,848.686340332,27.1899986267,806.891052246,27.1899986267,800.153076172,27.1899986267,767.579956055,27.1899986267,706.02331543,27.1899986267,675.42578125,27.1899986267,657.392028809,27.1899986267,636.015380859,27.1899986267,621.468811035,ADM3,9,9,BOL,BOL-ADM3-33444609B43353864,Huachacalla,ADM3
10,2989.64013672,inf,2962.20019531,10122.4550781,2962.20019531,10695.9726562,2962.20019531,10412.15625,2962.20019531,11307.6816406,2962.20019531,11005.8925781,2962.20019531,11630.2509766,2962.20019531,12288.5878906,2962.20019531,11953.5048828,2962.20019531,12642.9609375,2962.20019531,13022.5214844,2962.20019531,13372.7851562,2962.20019531,13726.5351562,2962.20019531,14102.0,2962.20019531,14513.4804688,2962.20019531,14922.0449219,2962.20019531,15360.5625,2962.20019531,15800.4101562,2962.20019531,16274.9267578,2962.20019531,16737.6816406,2962.20019531,17209.0664062,ADM3,10,10,BOL,BOL-ADM3-33444609B12212981,Santiago de Huari,ADM3
11,929.969970703,inf,783.140014648,5430.05126953,783.140014648,5476.21484375,783.140014648,5455.19726562,783.140014648,5598.10205078,783.140014648,5524.41943359,783.140014648,5607.6640625,783.140014648,5686.81640625,783.140014648,5648.52832031,783.140014648,5743.046875,783.140014648,5792.91894531,783.140014648,5846.2734375,783.140014648,5955.15136719,783.140014648,5969.62695312,783.140014648,5996.51513672,783.140014648,6057.33251953,783.140014648,6086.45996094,783.140014648,6157.29052734,783.140014648,6188.93066406,783.140014648,6241.34570312,783.140014648,6290.17480469,ADM3,11,11,BOL,BOL-ADM3-33444609B81698958,Pazña,ADM3
12,125.899993896,5128.39794922,125.899993896,5217.26464844,125.899993896,5396.88378906,125.899993896,5348.15478516,125.899993896,5760.08837891,125.899993896,5620.02490234,125.899993896,5984.63720703,125.899993896,6232.79541016,125.899993896,6080.97167969,125.899993896,6458.46679688,125.899993896,6629.20166016,125.899993896,6858.78857422,125.899993896,7272.1484375,125.899993896,7447.45214844,125.899993896,7698.51220703,125.899993896,7916.83007812,125.899993896,8084.53027344,125.899993896,8325.02441406,125.899993896,8533.93945312,125.899993896,8767.5234375,125.899993896,9018.55859375,ADM3,12,12,BOL,BOL-ADM3-33444609B39428862,Villa Rivero,ADM3
13,2892.62011719,inf,2592.81005859,4679.69091797,2592.81005859,4782.60839844,2592.81005859,4731.1484375,2592.81005859,4881.48730469,2592.81005859,4830.01953125,2592.81005859,4947.78320312,2592.81005859,5071.60546875,2592.81005859,5018.85888672,2592.81005859,5125.67675781,2592.81005859,5182.35986328,2592.81005859,5234.33300781,2592.81005859,5290.73486328,2592.81005859,5339.07177734,2592.81005859,5424.5234375,2592.81005859,5494.84765625,2592.81005859,5548.41308594,2592.81005859,5609.74755859,2592.81005859,5667.13671875,2592.81005859,5732.78466797,2592.81005859,5807.04492188,ADM3,13,13,BOL,BOL-ADM3-33444609B55151365,Andamarca,ADM3
