poly_id,asdf_id,mun,mun_id,dep,dep_id,dep_mun
1,254,Sucre,10101,Chuquisaca,2,Chuquisaca-Sucre
2,201,Yotala,10102,Chuquisaca,2,Chuquisaca-Yotala
3,300,Poroma,10103,Chuquisaca,2,Chuquisaca-Poroma
4,174,Azurduy,10201,Chuquisaca,2,Chuquisaca-Azurduy
5,186,Tarvita,10202,Chuquisaca,2,Chuquisaca-Tarvita
6,206,Zudañez,10301,Chuquisaca,2,Chuquisaca-Zudañez
7,255,Presto,10302,Chuquisaca,2,Chuquisaca-Presto
8,244,Mojocoya,10303,Chuquisaca,2,Chuquisaca-Mojocoya
9,200,Icla,10304,Chuquisaca,2,Chuquisaca-Icla
10,243,Padilla,10401,Chuquisaca,2,Chuquisaca-Padilla
11,203,Tomina,10402,Chuquisaca,2,Chuquisaca-Tomina
12,199,Sopachuy,10403,Chuquisaca,2,Chuquisaca-Sopachuy
13,198,Villa Alcalá,10404,Chuquisaca,2,Chuquisaca-Villa Alcalá
14,190,El Villar,10405,Chuquisaca,2,Chuquisaca-El Villar
15,194,Monteagudo,10501,Chuquisaca,2,Chuquisaca-Monteagudo
16,193,Huacareta,10502,Chuquisaca,2,Chuquisaca-Huacareta
17,205,Tarabuco,10601,Chuquisaca,2,Chuquisaca-Tarabuco
18,202,Yamparáez,10602,Chuquisaca,2,Chuquisaca-Yamparáez
19,336,Camargo,10701,Chuquisaca,2,Chuquisaca-Camargo
20,35,San Lucas,10702,Chuquisaca,2,Chuquisaca-San Lucas
21,37,Incahuasi,10703,Chuquisaca,2,Chuquisaca-Incahuasi
22,322,Villa Charcas,10704,Chuquisaca,2,Chuquisaca-Villa Charcas
23,246,Villa Serrano,10801,Chuquisaca,2,Chuquisaca-Villa Serrano
24,105,Villa Abecia,10901,Chuquisaca,2,Chuquisaca-Villa Abecia
25,36,Culpina,10902,Chuquisaca,2,Chuquisaca-Culpina
26,104,Las Carreras,10903,Chuquisaca,2,Chuquisaca-Las Carreras
