asdf_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
0,962.03308,1051.7993,1148.5365,1242.4298,1364.5643,1486.7859,1625.0844,1772.2502,1946.8031,2044.5874,2275.4063,2564.9146,2820.8704,3077.3789,3359.6067,3707.0911,4065.6479,4454.5977,4886.9614,5354.105
1,3312.9175,3382.0591,3447.3469,3509.0361,3575.7029,3654.4546,3723.5171,3791.8071,3862.3999,3931.6042,4008.8794,4093.4082,4171.9414,4262.7119,4357.5601,4434.0586,4517.645,4591.6426,4682.3174,4778.1196
2,2926.0422,2930.1304,2925.2476,2920.4456,2931.2747,2917.2329,2924.5735,2921.3955,2924.3833,2924.4277,2935.4258,2944.4102,2948.998,2946.7283,2939.2947,2952.7051,2951.3447,2957.1394,2962.3892,2961.2444
3,37124.078,37587.055,38141.207,38598.195,38822.41,39387.363,39696.395,40172.496,40422.711,40894.594,41286.734,41232.336,41785.758,42008.801,42489.727,43108.047,43508.594,43985.516,44480.926,44924.027
4,8961.5479,8997.2852,9066.5137,9147.9082,9074.5576,9064.5742,9079.457,9065.6289,9169.082,9156.5527,9130.375,9241.0156,9179.7354,9252.2344,9251.8643,9114.1768,9163.9531,9104.1152,9093.3965,9119.4424
5,26320.121,25994.48,25728.09,25445.094,25277.586,25056.887,24719.758,24480.117,24326.766,24095.885,23921.428,23986.42,23508.979,23179.283,22875.342,22949.064,22833.016,22573.273,22415.348,22192.563
6,19041.936,19111.148,19151.291,19205.484,19270.402,19341.951,19433.648,19497.477,19592.5,19679.881,19771.855,19767.326,19817.66,19878.75,19991.605,20033.26,20121.355,20218.48,20301.313,20390.607
7,6079.4229,6105.0845,6127.4707,6116.3203,6147.2383,6204.519,6195.5161,6223.2065,6247.5352,6265.8896,6288.7427,6324.7026,6354.4849,6374.6982,6344.9238,6393.9258,6426.2617,6435.4756,6485.4453,6517.0322
8,19474.75,19874.184,20404.949,20552.34,20982.943,21428.021,21894.07,22606.867,22909.852,23430.723,23924.027,24172.211,25006.039,25643.0,26234.617,26747.563,27025.199,27778.363,28360.246,28972.629
9,1348.9401,1234.1888,1167.8522,1093.4229,1059.6692,1145.2914,986.27881,963.98895,1016.8475,1055.9362,858.17859,848.68634,806.89105,800.15308,767.57996,706.02332,675.42578,657.39203,636.01538,621.46881
10,10122.455,10412.156,10695.973,11005.893,11307.682,11630.251,11953.505,12288.588,12642.961,13022.521,13372.785,13726.535,14102.0,14513.48,14922.045,15360.563,15800.41,16274.927,16737.682,17209.066
11,5430.0513,5455.1973,5476.2148,5524.4194,5598.1021,5607.6641,5648.5283,5686.8164,5743.0469,5792.9189,5846.2734,5955.1514,5969.627,5996.5151,6057.3325,6086.46,6157.2905,6188.9307,6241.3457,6290.1748
12,5217.2646,5348.1548,5396.8838,5620.0249,5760.0884,5984.6372,6080.9717,6232.7954,6458.4668,6629.2017,6858.7886,7272.1484,7447.4521,7698.5122,7916.8301,8084.5303,8325.0244,8533.9395,8767.5234,9018.5586
13,4679.6909,4731.1484,4782.6084,4830.0195,4881.4873,4947.7832,5018.8589,5071.6055,5125.6768,5182.3599,5234.333,5290.7349,5339.0718,5424.5234,5494.8477,5548.4131,5609.7476,5667.1367,5732.7847,5807.0449
14,1586.0592,1619.4778,1645.2491,1681.016,1729.1342,1755.2041,1794.1758,1841.4492,1881.1864,1924.7014,1967.7828,2007.5176,2045.1378,2100.6909,2139.1533,2182.1929,2227.0889,2273.6318,2326.2979,2374.2493
15,9873.2871,10350.146,10982.25,11390.994,12068.503,12650.874,13375.626,14042.314,14758.996,15506.116,16325.072,17093.061,17839.953,18958.461,19876.848,21081.154,22281.617,23464.406,24769.832,26144.529
16,5466.7915,5537.415,5609.5356,5713.7207,5759.0474,5840.9736,5942.1094,6056.5249,6127.9478,6156.6406,6231.1289,6343.0171,6441.1235,6508.6563,6579.8809,6692.3779,6788.1182,6856.4106,6951.834,7031.2046
17,9212.2266,9275.9023,9280.2607,9245.9209,9008.3672,8997.8369,8944.9531,8883.5029,8830.3047,8670.3525,8626.4502,8631.8545,8579.4863,8542.6338,8551.9131,8463.1924,8349.4854,8322.9355,8286.04,8196.3838
18,196906.25,201842.13,208394.59,212934.69,217298.03,222941.16,228529.38,235709.95,241315.89,246890.06,253135.72,260075.77,267011.22,273951.72,281573.38,287548.44,294769.22,302054.19,309750.5,317430.88
19,5822.3477,5784.3071,5771.5146,5761.4287,5722.6021,5692.6758,5688.2686,5657.8984,5642.3765,5613.2695,5586.9546,5560.1597,5535.457,5514.3237,5493.6211,5483.959,5468.2134,5447.0879,5426.9238,5402.3086
20,8253.665,8382.834,8479.0957,8537.8447,8566.5957,8623.9912,8742.1338,8781.2344,8854.0391,8929.9258,9008.9424,9105.5586,9188.3525,9273.5557,9303.8691,9363.9004,9413.002,9482.9434,9548.9863,9640.6455
21,2059.2927,2111.9146,2205.8826,2313.5063,2435.3538,2506.9087,2614.0889,2738.2996,2822.522,2880.8887,3115.0923,3332.0154,3445.7061,3569.1572,3513.5991,3903.2271,4113.7363,4285.1553,4481.3271,4678.9878
22,12584.379,12928.837,13288.913,13622.697,13829.948,14228.215,14567.832,14902.033,15235.854,15597.102,15892.757,16228.074,16652.111,17069.848,17455.322,17888.799,18274.828,18719.854,19159.529,19605.055
23,17072.771,17328.709,17746.371,17706.025,17781.73,18034.318,18211.828,18606.883,18952.232,19163.297,19120.014,19365.395,19627.906,19975.002,20480.787,20470.789,20663.131,20945.201,21195.461,21485.049
24,11470.388,11336.98,11181.129,11133.493,11053.118,10964.313,10829.248,10756.262,10659.726,10604.678,10480.115,10327.212,10237.01,10147.284,10045.912,9969.5898,9871.7617,9774.0898,9691.2051,9617.5342
25,11494.135,11391.432,11306.539,11175.263,11135.901,11069.518,10935.752,10866.971,10844.348,10810.912,10755.354,10643.098,10583.786,10508.183,10440.115,10384.547,10330.722,10280.603,10225.231,10186.295
26,15267.447,15162.219,15187.422,15096.611,16103.813,15935.863,15935.754,15975.705,15700.406,16063.873,16072.213,16400.871,16350.432,16329.773,16188.867,16827.883,17035.471,17177.547,17306.832,17418.18
27,11715.309,11718.91,11746.246,11825.547,11919.656,11936.486,11968.406,12089.656,12155.924,12179.111,12239.822,12371.357,12424.682,12505.119,12451.763,12599.787,12732.358,12762.826,12833.637,12918.258
28,12416.503,12453.873,12562.246,12696.771,12585.742,12719.504,12782.109,12782.891,12873.642,12945.47,12941.258,12772.475,12751.387,12921.588,13078.381,12880.938,12910.924,12909.771,12974.033,13039.533
29,17349.82,17488.52,17641.441,17754.539,17781.434,17986.549,18115.992,18191.004,18291.145,18443.676,18432.467,18328.082,18583.352,18764.746,18987.395,18994.041,18918.275,19143.404,19227.918,19344.729
30,6315.9395,6450.9824,6597.373,6720.3203,6661.207,6838.5049,6992.606,7008.8193,7095.3018,7209.0459,7227.2104,7150.4946,7210.5166,7446.1489,7652.4482,7680.5078,7718.3809,7769.4844,7849.7246,7955.4624
31,39557.707,42348.09,45479.785,48536.945,52453.57,56002.672,60170.801,64787.891,70213.031,75473.555,81067.703,86212.758,92819.758,99513.523,106350.62,114988.8,123966.32,133134.77,143111.58,153883.36
32,3309.8738,3255.6445,3210.5752,3162.2324,3106.062,3056.5474,3013.6306,2962.2671,2913.4758,2865.8259,2813.0588,2763.615,2724.2263,2677.9951,2636.4285,2584.3604,2539.9834,2497.9619,2458.9644,2414.9756
33,36806.586,37719.379,38717.98,39742.734,40726.684,41819.668,42859.773,43893.43,44937.0,45969.266,47240.055,48336.641,49505.492,50742.223,52049.781,53198.305,54593.68,55950.0,57308.492,58744.352
34,9583.9277,9685.0947,9730.001,9749.873,9830.4883,9896.1875,9973.2773,10046.581,10153.986,10306.618,10345.807,10505.406,10521.881,10633.164,10736.379,10822.785,10917.0,10981.414,11077.648,11171.677
35,32348.729,32391.99,32382.689,32500.619,32575.453,32528.563,32564.113,32595.898,32749.439,32823.73,33037.336,33032.695,33017.109,33141.57,33194.898,33132.133,33218.074,33234.098,33284.414,33305.328
36,17739.633,17773.398,17786.646,17843.609,17901.42,17911.262,17966.084,18022.773,18065.111,18051.814,18113.906,18096.488,18100.107,18120.861,18113.643,18131.064,18188.598,18212.229,18240.975,18266.398
37,13485.111,13829.532,14161.293,14262.202,14500.713,14682.258,14965.767,15121.156,15358.262,15606.824,15902.465,16459.486,16866.361,17028.031,17553.063,17837.416,18109.848,18524.691,18918.238,19336.211
