POLY_ID,DEPARTAMEN,mun
1,Chuquisaca,Sucre
2,Chuquisaca,Yotala
3,Chuquisaca,Poroma
4,Chuquisaca,Azurduy
5,Chuquisaca,Tarvita
6,Chuquisaca,Zuda<f1>ez
7,Chuquisaca,Presto
8,Chuquisaca,Mojocoya
9,Chuquisaca,Icla
10,Chuquisaca,Padilla
11,Chuquisaca,Tomina
12,Chuquisaca,Sopachuy
13,Chuquisaca,Villa Alcal<e1>
14,Chuquisaca,El Villar
15,Chuquisaca,Monteagudo
16,Chuquisaca,Huacareta
17,Chuquisaca,Tarabuco
18,Chuquisaca,Yampar<e1>ez
19,Chuquisaca,Camargo
20,Chuquisaca,San Lucas
21,Chuquisaca,Incahuasi
22,Chuquisaca,Villa Charcas
23,Chuquisaca,Villa Serrano
24,Chuquisaca,Villa Abecia
25,Chuquisaca,Culpina
26,Chuquisaca,Las Carreras
27,Chuquisaca,Muyupampa
28,Chuquisaca,Huacaya
29,Chuquisaca,Macharet<ed>
30,La Paz,La Paz
31,La Paz,Palca
32,La Paz,Mecapaca
33,La Paz,Achocalla
34,La Paz,El Alto
35,La Paz,Achacachi
36,La Paz,Ancoraimes
37,La Paz,Chua Cocani
38,La Paz,Huarina
39,La Paz,Santiago de Huata
40,La Paz,Huatajata
41,La Paz,Coro Coro
42,La Paz,Caquiaviri
43,La Paz,Calacoto
44,La Paz,Comanche
45,La Paz,Chara<f1>a
46,La Paz,Waldo Ballivi<e1>n
47,La Paz,Nazacara de Pacajes
48,La Paz,Callapa
49,La Paz,Puerto Acosta
50,La Paz,Mocomoco
51,La Paz,Puerto Carabuco
52,La Paz,Humanata
53,La Paz,Escoma
54,La Paz,Chuma
55,La Paz,Ayata
56,La Paz,Aucapata
57,La Paz,Sorata
58,La Paz,Guanay
59,La Paz,Tacacoma
60,La Paz,Quiabaya
61,La Paz,Combaya
62,La Paz,Tipuani
63,La Paz,Mapiri
64,La Paz,Teoponte
65,La Paz,Apolo
66,La Paz,Pelechuco
67,La Paz,Viacha
68,La Paz,Guaqui
69,La Paz,Tiahuanacu
70,La Paz,Desaguadero
71,La Paz,San Andr<e9>s de Machaca
72,La Paz,Jes<fa>s de Machaca
73,La Paz,Taraco
74,La Paz,Luribay
75,La Paz,Sapahaqui
76,La Paz,Yaco
77,La Paz,Malla
78,La Paz,Cairoma
79,La Paz,Inquisivi
80,La Paz,Quime
81,La Paz,Cajuata
82,La Paz,Colquiri
83,La Paz,Ichoca
84,La Paz,Villa Libertad Licoma
85,La Paz,Chulumani
86,La Paz,Irupana
87,La Paz,Yanacachi
88,La Paz,Palos Blancos
89,La Paz,La Asunta
90,La Paz,Pucarani
91,La Paz,Laja
92,La Paz,Batallas
93,La Paz,Puerto P<e9>rez
94,La Paz,Sica Sica
95,La Paz,Umala
96,La Paz,Ayo Ayo
97,La Paz,Calamarca
98,La Paz,Patacamaya
99,La Paz,Colquencha
100,La Paz,Collana
101,La Paz,Coroico
102,La Paz,Coripata
103,La Paz,Ixiamas
104,La Paz,San Buenaventura
105,La Paz,Charazani
106,La Paz,Curva
107,La Paz,Copacabana
108,La Paz,San Pedro de Tiquina
109,La Paz,Tito Yupanqui
110,La Paz,San Pedro Cuarahuara
111,La Paz,Papel Pampa
112,La Paz,Chacarilla
113,La Paz,Santiago de Machaca
114,La Paz,Catacora
115,La Paz,Caranavi
116,La Paz,Alto Beni
117,Cochabamba,Cochabamba
118,Cochabamba,Aiquile
119,Cochabamba,Pasorapa
120,Cochabamba,Omereque
121,Cochabamba,Independencia
122,Cochabamba,Morochata
123,Cochabamba,Cocapata
124,Cochabamba,Tarata
125,Cochabamba,Anzaldo
126,Cochabamba,Arbieto
127,Cochabamba,Sacabamba
128,Cochabamba,Arani
129,Cochabamba,Vacas
130,Cochabamba,Arque
131,Cochabamba,Tacopaya
132,Cochabamba,Capinota
133,Cochabamba,Santiva<f1>ez
134,Cochabamba,Sicaya
135,Cochabamba,Cliza
136,Cochabamba,Toko
137,Cochabamba,Tolata
138,Cochabamba,Quillacollo
139,Cochabamba,Sipe Sipe
140,Cochabamba,Tiquipaya
141,Cochabamba,Vinto
142,Cochabamba,Colcapirhua
143,Cochabamba,Sacaba
144,Cochabamba,Colomi
145,Cochabamba,Villa Tunari
146,Cochabamba,Tapacar<ed>
147,Cochabamba,Totora
148,Cochabamba,Pojo
149,Cochabamba,Pocona
150,Cochabamba,Chimor<e9>
151,Cochabamba,Puerto Villarroel
152,Cochabamba,Entre R<ed>os
153,Cochabamba,Mizque
154,Cochabamba,Vila Vila
155,Cochabamba,Alalay
156,Cochabamba,Punata
157,Cochabamba,Villa Rivero
158,Cochabamba,San Benito
159,Cochabamba,Tacachi
160,Cochabamba,Cuchumuela
161,Cochabamba,Bol<ed>var
162,Cochabamba,Tiraque
163,Cochabamba,Shinahota
164,Oruro,Oruro
