asdf_id,population_2020,urbano_2012,sdg1_1_eepr,sdg1_1_ubn,sdg1_2_mpi,sdg1_4_abs,sdg2_2_cmc,sdg2_2_oww,sdg2_4_pual,sdg2_4_td,sdg3_1_idca,sdg3_2_imr,sdg3_2_mrc,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg4_1_ssdrm,sdg4_1_ssdrf,sdg4_4_phe,sdg4_6_lr,sdg4_c_qti,sdg4_c_qts,sdg5_1_gpsd,sdg5_1_gpyp,sdg5_1_gpmpi,sdg5_5_gpop,sdg6_1_dwc,sdg6_2_sc,sdg6_3_wwt,sdg7_1_ec,sdg7_1_rec,sdg7_1_cce,sdg7_3_co2epc,sdg8_4_rem,sdg8_5_oprm,sdg8_5_ofrm,sdg8_6_mlm,sdg8_6_wlm,sdg8_10_dbb,sdg8_11_idi,sdg9_1_routes,sdg9_5_cd,sdg9_5_eutf,sdg9_c_mnc,sdg9_c_drb,sdg10_2_gcye,sdg10_2_iec,sdg10_2_nssp,sdg11_1_hocr,sdg11_1_hno,sdg11_2_samt,sdg13_1_ccvi,sdg13_2_tco2e,sdg13_2_dra,sdg15_1_pa,sdg15_5_blr,sdg16_1_rhr,sdg16_6_pbec,sdg16_9_cr,sdg17_1_pmtax,sdg17_5_pipc
0,2854,0.0,,78.300003,0.1,10.8,19.200001,20.6,47.099998,0.0,43.200001,28.700001,34.700001,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,11.8,97.800003,40.0,53.599998,1.0,1.0,0.60000002,0.60000002,95.5,15.0,0.0,82.400002,2,37.0,0.1,,68.5,43.900002,14.7,26.200001,0.0,0.0,1,0.0,,52.0,0.40000001,0.28,,8.1000004,44.099998,87.699997,552.5,2.0,0.1,0.0,0.0,0.0,0.0,82.900002,86.699997,10.7,1082
1,4474,0.0,88.300003,73.599998,0.15000001,19.299999,31.5,19.5,7.6999998,87.400002,41.0,48.599998,64.599998,0.0,0.0,0.0,23.0,0.0,55.599998,1.4,0.80000001,12.1,94.800003,33.299999,25.0,2.0,0.89999998,1.2,0.89999998,60.5,25.200001,0.0,64.599998,27,49.099998,0.2,18.1,78.699997,67.400002,6.8000002,14.7,0.0,0.1,2,3.0999999,18.200001,45.0,2.8,0.34999999,30.0,16.700001,22.4,77.199997,0.0,2.2,0.2,0.0,0.0,0.0,0.0,53.700001,90.099998,0.0,443
2,2852,0.0,96.699997,85.199997,0.19,12.3,31.5,19.5,33.599998,111.5,33.700001,40.299999,52.700001,0.0,0.0,0.0,34.099998,0.0,55.099998,1.9,1.2,9.3999996,92.599998,0.0,29.4,2.0,0.80000001,1.1,0.69999999,66.199997,19.5,0.0,64.5,9,34.799999,0.1,41.599998,70.900002,51.700001,7.3000002,22.200001,0.0,0.1,0,4.0999999,12.5,43.599998,3.4000001,0.38999999,11.0,13.5,27.200001,82.099998,0.0,2.3,0.1,0.0,0.0,0.0,0.0,56.5,87.199997,0.30000001,788
3,42861,85.300003,53.299999,37.5,0.067000002,54.0,18.0,18.9,2.8,3.7,68.0,43.099998,56.900002,0.0,0.0,0.0,68.199997,47.200001,54.400002,3.9000001,2.5,29.6,92.699997,45.5,69.0,1.8,0.89999998,0.80000001,0.69999999,96.800003,65.699997,0.0,88.5,108,83.900002,0.80000001,5.8000002,61.0,42.5,10.5,20.0,23.4,3.4000001,2,5.6999998,19.5,63.5,3.4000001,0.36000001,81.0,15.0,21.0,43.5,114.0,1.0,0.80000001,0.0,0.0,0.0,1.6,61.5,92.900002,3.0999999,706
4,8503,0.0,84.199997,88.800003,0.204,8.3000002,29.5,18.0,5.0,2.2,16.799999,70.300003,98.599998,0.0,0.0,0.0,11.5,0.0,85.900002,4.3000002,1.9,5.9000001,87.099998,40.0,57.099998,3.5999999,0.80000001,0.89999998,0.89999998,93.300003,15.5,0.0,51.0,22,14.0,0.0,30.5,75.599998,68.599998,7.8000002,18.6,0.0,0.40000001,0,3.0,14.6,20.5,0.69999999,0.46000001,26.0,56.5,16.799999,85.800003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.200001,94.0,0.0,433
5,24676,33.799999,52.0,69.099998,0.18700001,41.700001,18.1,23.4,3.4000001,6.8000002,46.599998,31.700001,39.400002,2.0,0.0,0.0,32.900002,41.299999,85.5,3.5,2.5999999,9.5,87.900002,60.0,62.5,1.5,0.89999998,1.2,0.60000002,74.800003,47.5,0.0,62.299999,102,39.799999,1.4,7.8000002,67.599998,37.599998,10.5,30.0,12.3,4.5,3,3.5999999,6.8000002,41.799999,1.9,0.46000001,74.0,37.400002,24.1,54.799999,0.60000002,1.0,1.4,0.0,11.2,0.0,0.0,58.099998,86.599998,2.2,613
6,19118,12.3,76.800003,88.900002,0.249,13.9,49.200001,11.3,3.0,1.0,30.0,59.0,80.199997,0.0,0.0,0.0,5.0999999,0.0,59.900002,5.8000002,7.6999998,7.5999999,84.5,0.0,68.0,1.3,0.80000001,1.0,0.89999998,77.800003,17.799999,0.0,60.200001,30,20.6,0.1,23.1,76.099998,66.699997,7.9000001,22.299999,0.0,0.69999999,0,1.6,7.5,23.799999,0.89999998,0.52999997,34.0,56.0,22.5,84.400002,0.0,2.0,0.1,0.0,0.0,0.0,0.0,75.800003,89.800003,0.0,511
7,6435,0.0,84.5,82.699997,0.214,12.3,29.5,18.0,3.5,0.0,36.700001,61.599998,80.199997,0.2,0.0,0.0,31.200001,0.0,86.699997,6.6999998,10.3,8.3000002,87.900002,68.400002,60.0,1.0,0.80000001,1.1,0.69999999,72.699997,10.1,0.0,64.5,27,19.799999,0.0,23.0,67.599998,46.099998,6.4000001,25.799999,0.0,0.2,0,2.4000001,8.0,29.1,1.1,0.44,26.0,44.299999,23.299999,87.099998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,81.5,90.800003,0.89999998,337
8,27975,82.400002,46.799999,24.0,0.041999999,45.200001,19.200001,20.6,1.3,1.8,74.699997,38.299999,49.799999,0.0,0.0,0.0,85.800003,181.0,55.599998,5.6999998,2.4000001,16.5,95.900002,40.0,48.299999,2.5999999,1.0,0.5,0.5,95.599998,50.900002,0.0,96.5,180,85.599998,0.80000001,8.3999996,69.400002,35.0,12.1,26.0,18.4,0.80000001,2,4.8000002,24.0,76.300003,0.40000001,0.31,117.0,10.3,17.799999,53.200001,75.099998,1.0,0.80000001,0.0,0.0,0.0,0.0,78.300003,96.199997,0.30000001,1309
9,1011,0.0,61.799999,22.299999,0.0099999998,69.300003,19.200001,20.6,0.2,0.0,57.900002,35.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0999999,0.0,21.700001,97.099998,33.299999,52.200001,1.0,1.0,0.40000001,,96.599998,77.0,0.0,95.099998,189,88.300003,0.30000001,24.0,36.5,51.5,71.099998,25.0,0.0,0.2,1,2.3,50.0,63.0,6.9000001,0.25,45.0,5.0,7.3000002,26.799999,0.0,2.0,0.30000001,0.0,0.0,0.0,0.0,89.699997,91.5,0.60000002,2526
